policy,pair,amount_col,type_col,applied,reason,amount_missing_before,type_missing_before,both_missing_before,amount_positive_type_missing_to_unknown_type,amount_zero_or_missing_type_missing_to_not_applicable,type_present_amount_missing_left_missing,amount_missing_after,type_missing_after,amount_zero_after,unknown_type_after,not_applicable_after
raw_le_20,cement,Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,True,semantic_rules_applied,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
raw_le_20,fly_ash,Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Fly Ash Type,False,amount_or_type_column_not_in_policy,,,,,,,,,,,
raw_le_20,slag,Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,False,amount_or_type_column_not_in_policy,,,,,,,,,,,
raw_le_20,sustainable_filler,Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sustainable Filler | Type of Filler,False,amount_or_type_column_not_in_policy,,,,,,,,,,,
raw_le_20,sand,Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,True,semantic_rules_applied,0.0,82.0,0.0,16.0,66.0,0.0,0.0,0.0,66.0,16.0,66.0
raw_le_20,fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Type of Fiber,False,amount_or_type_column_not_in_policy,,,,,,,,,,,
raw_le_20,synergetic_fiber,Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,Mix Constitutents | Synergetic Fiber | Type of Fiber,False,amount_or_type_column_not_in_policy,,,,,,,,,,,
raw_le_20,superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,True,semantic_rules_applied,8.0,120.0,0.0,120.0,0.0,8.0,8.0,0.0,0.0,120.0,0.0
