method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,4,22.11282709654816,24.606296020944345,-2.610703265719517,0.9640941829033836,22.11282709654816,16.931360504318306,shared_publication_test,Ref-9-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,4,8.565418170800939,10.736565824224169,-1.049130667458865,0.3900024824966542,8.144874607257805,7.580836341601881,shared_publication_test,Ref-32-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,2,13.723267740675666,14.77318067200708,-0.02106472575545082,1.0,-13.723267740675666,13.723267740675666,shared_publication_test,Ref-33-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,1,4.710460375876579,4.710460375876579,,,-4.710460375876579,4.710460375876579,shared_publication_test,Ref-35-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,4,18.46704427034792,19.116478243442035,-4.924048477114368,0.9723692053875297,-18.46704427034792,17.93996525544391,shared_publication_test,Ref-44-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.7777777777777778,-0.12222222222222223,93.44180929863194,93.44180929863194,0.0,0.041666666666666664,0.18055555555555555,124.72099311471841,93.44180929863194,,72,30.634619709950965,34.69252634647861,-0.5049614751346139,0.32673740261382145,21.104318836423495,29.209053686478143,shared_publication_test,Ref-48-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.6,-0.30000000000000004,93.44180929863194,93.44180929863194,0.0,0.4,0.0,128.67058946567806,93.44180929863194,,5,42.35280886754571,42.99811671321329,-22.654529694000924,0.6022230066385287,-42.35280886754571,39.74399100794844,shared_publication_test,Ref-55-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,5.801557143511545e-15,0.0,0.0,93.44180929863194,93.44180929863194,,6,6.693494142546794,7.326865732734984,-0.06890852475605169,-0.8675568380553629,1.5427721197440125,6.551094243640762,shared_publication_test,Ref-57-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,8,15.978417133699665,17.619409493720248,-18.177982449877938,0.46432717483426317,-14.527791754449126,15.39649247288591,shared_publication_test,Ref-64-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.9,0.0,93.44180929863197,93.44180929863194,3.113442275577916e-14,0.0,0.1,109.20957681068926,93.44180929863194,,30,30.26301064741523,33.52833374873157,-0.5004215446680984,0.739956588096344,23.0805219997889,32.255284318946764,shared_publication_test,Ref-65-Research,shared_semantic_dataset,,
