method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.5,0.5176848874598071,0.01768488745980712,42.88470606682313,42.88470606682313,2.5482381009596817e-15,0.15434083601286175,0.3279742765273312,74.63362732831538,42.88470606682313,,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.8,0.7427652733118971,-0.05723472668810292,69.01673141908162,69.01673141908162,2.5482381009596817e-15,0.07395498392282958,0.1832797427652733,100.99076912939805,69.01673141908162,,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.8906752411575563,-0.00932475884244377,93.44180929863192,93.44180929863194,1.4880488701454895e-14,0.022508038585209004,0.08681672025723473,113.29290546693936,93.44180929863194,,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.95,0.9581993569131833,0.008199356913183298,111.08929494253938,111.08929494253937,1.5225589376599483e-14,0.00964630225080386,0.03215434083601286,125.5475993521285,111.08929494253937,,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.5,0.36012861736334406,-0.13987138263665594,33.04609031232277,29.203783184139112,40.85936490408052,0.2315112540192926,0.40836012861736337,75.3502162585283,51.823210011430604,0.05327049226564721,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.8,0.684887459807074,-0.11511254019292605,62.78860243995376,55.488099038685675,77.63406789318871,0.11254019292604502,0.20257234726688103,106.77866779824689,55.92735534400515,0.05327049226564721,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.7877813504823151,-0.1122186495176849,80.58829877101633,71.21820409749888,99.64224739941932,0.07395498392282958,0.1382636655948553,125.68050198766251,71.44383350233261,0.05327049226564721,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.95,0.8906752411575563,-0.0593247588424437,96.02688079868,84.86172434286696,118.73106095370119,0.04180064308681672,0.06752411575562701,143.45108428158034,84.96174053600033,0.05327049226564721,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_conformalized,Bayesian Ridge,shared_publication_held_out,test,0.5,0.6077170418006431,0.10771704180064312,54.53488018433228,48.19404661259911,67.42887126411539,0.15434083601286175,0.2379421221864952,77.32106607213244,49.40461287985039,0.05329962022014908,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_conformalized,Bayesian Ridge,shared_publication_held_out,test,0.8,0.8745980707395499,0.07459807073954983,92.25384583911104,81.52738452039358,114.06594593549906,0.04180064308681672,0.08360128617363344,106.04999841177484,81.62981492676374,0.05329962022014908,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_conformalized,Bayesian Ridge,shared_publication_held_out,test,0.9,0.9356913183279743,0.03569131832797423,109.45262596549003,96.72644259641532,135.33113120997984,0.028938906752411574,0.03536977491961415,122.25630945225316,96.81764011991054,0.05329962022014908,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
bayesian_ridge_conformalized,Bayesian Ridge,shared_publication_held_out,test,0.95,0.9807073954983923,0.030707395498392298,138.38125845776943,122.29150954181239,171.09952438468824,0.006430868167202572,0.012861736334405145,144.23255748675325,122.35375445432538,0.05327049226564721,311,22.636838485211374,27.718901606024787,0.5202735320785736,0.7409626706206249,6.569161092797344,20.167095450675248,shared_publication_test
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.5,0.3247588424437299,-0.17524115755627012,26.496668349850005,26.34066444688257,1.8784396532852707,0.18971061093247588,0.4855305466237942,81.6234323895138,62.8194171173335,0.08996077149297818,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_bootstrap_conformalized,Elastic Net,shared_publication_held_out,test,0.5,0.42765273311897106,-0.07234726688102894,36.189446653086414,36.03344275011895,1.8784396532852716,0.1607717041800643,0.4115755627009646,79.10462569938252,53.12663881409715,0.08996077149297818,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.8,0.5852090032154341,-0.21479099678456592,52.36476201156284,52.337554276736796,3.0710447347929724,0.13183279742765272,0.2829581993569132,114.7624721771258,55.0682807107776,0.08037969261279092,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_bootstrap_conformalized,Elastic Net,shared_publication_held_out,test,0.8,0.7363344051446945,-0.06366559485530554,68.1444596255868,68.11725189076077,3.0710447347929724,0.0707395498392283,0.19292604501607716,103.551969486369,69.23117571408905,0.08037969261279092,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,0.7363344051446945,-0.16366559485530552,68.90420161706172,68.66451259723925,4.30406895201033,0.0932475884244373,0.17041800643086816,133.41566452639984,70.45150830941564,0.06952081739869821,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_bootstrap_conformalized,Elastic Net,shared_publication_held_out,test,0.9,0.8971061093247589,-0.002893890675241151,94.33649653456624,94.09680751474377,4.304068952010331,0.02572347266881029,0.07717041800643087,114.07901138564324,94.61532957098055,0.06952081739869821,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.95,0.8617363344051447,-0.08826366559485521,85.97405969634177,85.80036647641803,5.9362262805512485,0.04823151125401929,0.09003215434083602,142.43122142581063,86.64567094119563,0.10142224157512092,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
elastic_net_bootstrap_conformalized,Elastic Net,shared_publication_held_out,test,0.95,0.9614147909967846,0.011414790996784663,113.73819857776441,113.56450535784067,5.936226280551249,0.012861736334405145,0.02572347266881029,126.50871586491574,113.80592963919997,0.10142224157512092,311,24.039727473809915,29.127843361357257,0.4702654396140775,0.732514687544414,9.256831365717245,20.497885799125925,shared_publication_test
