method,model,evaluation_scheme,evaluation_fold,calibration_score_type,alpha,nominal_coverage,n_calibration_rows,finite_sample_rank,quantile_level,q_hat,bootstrap_repetitions
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,231,209.0,0.9047619047619048,12.463270022945494,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,231,221.0,0.9567099567099567,16.750665048773016,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.5,0.5,238,120.0,0.5042016806722689,20.92152761212145,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.19999999999999996,0.8,238,192.0,0.8067226890756303,40.1946890991745,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.09999999999999998,0.9,238,216.0,0.907563025210084,51.67586654216825,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.050000000000000044,0.95,238,228.0,0.957983193277311,61.86286295101945,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,gaussian_predictive_z,0.5,0.5,238,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,gaussian_predictive_z,0.19999999999999996,0.8,238,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,gaussian_predictive_z,0.09999999999999998,0.9,238,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,gaussian_predictive_z,0.050000000000000044,0.95,238,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,absolute_residual_over_predictive_std,0.5,0.5,238,120.0,0.5042016806722689,0.8708570846918754,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,238,192.0,0.8067226890756303,1.6157227499969329,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,238,216.0,0.907563025210084,2.2068819976166076,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-141-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,238,228.0,0.957983193277311,2.8315055462895082,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-141-Research,bootstrap_percentile_bounds,0.5,0.5,238,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-141-Research,outside_bootstrap_interval_distance,0.5,0.5,238,120.0,0.5042016806722689,8.251820593138518,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-141-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,238,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-141-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,238,192.0,0.8067226890756303,12.77862593368917,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-141-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,238,,,,300.0
