method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,aggregation,n_publications
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.922566371681416,0.022566371681415953,98.4344273579626,98.50825564764237,2.485374221948828,0.030973451327433628,0.046460176991150445,109.91530985364452,98.65764926291735,0.01945433505710358,452,23.05177545576774,27.857389851587392,0.26328164715827673,0.5142104388719787,0.798084199901938,21.071143441490975,micro_all_rows,6
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9175236371184701,0.01752363711846988,98.61904736216657,98.61904736216657,7.105427357601002e-15,0.0347994448921121,0.047676917989417984,111.05072052137207,98.61904736216657,,452,23.261378794110126,28.002892649580783,-0.6790793651251842,0.6082228223233631,-0.2239131636965208,20.528129313566435,macro_equal_publication_weight,6
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.7234513274336283,-0.17654867256637174,73.24765641580231,72.72369761281621,1.9200826320665227,0.18141592920353983,0.09513274336283185,130.3301795933762,73.37860047265127,0.14477327286324895,452,25.25142620426479,30.311981929581112,0.12773326240083382,0.4120106567845071,-3.199934786568242,23.201733882914098,micro_all_rows,6
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.7136563681789306,-0.1863436318210694,73.30718072863922,72.98902125561231,1.057657073788516,0.19305659478403234,0.09328703703703704,133.013243986452,87.71576382962519,,452,25.593922700260716,30.160990265693812,-1.8221396793059121,0.6258330453724651,-4.472313198003785,22.834268460840292,macro_equal_publication_weight,6
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9314159292035398,0.03141592920353975,101.36641492903841,99.99579435898707,4.184652047182511,0.046460176991150445,0.022123893805309734,113.15359216587143,100.07644008273698,0.002427299116776108,452,25.25142620426479,30.311981929581112,0.12773326240083382,0.4120106567845071,-3.199934786568242,23.201733882914098,micro_all_rows,6
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9270421239271965,0.02704212392719642,101.38119049167766,100.9401602906071,1.4661892751466974,0.051380495120422594,0.02157738095238095,114.0473873956608,101.0595748717778,,452,25.593922700260716,30.160990265693812,-1.8221396793059121,0.6258330453724651,-4.472313198003785,22.834268460840292,macro_equal_publication_weight,6
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8053097345132744,-0.09469026548672566,72.04044356331926,72.09058422791591,4.173978189734723,0.07964601769911504,0.11504424778761062,116.07768213036277,73.32199672067352,0.061783700585733334,452,23.05177545576774,27.857389851587392,0.26328164715827673,0.5142104388719787,0.798084199901938,21.071143441490975,micro_all_rows,6
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8042692904787486,-0.09573070952125147,72.14546835950507,72.16485409408513,4.0935034154028,0.08188315661119851,0.11384755291005293,118.20093092448279,73.35161480066681,,452,23.261378794110126,28.002892649580783,-0.6790793651251842,0.6082228223233631,-0.2239131636965208,20.528129313566435,macro_equal_publication_weight,6
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9247787610619469,0.024778761061946875,96.63745623983867,96.68049010524294,4.387873425067132,0.035398230088495575,0.03982300884955752,108.92968469297406,97.09135027494972,0.09710208479429777,452,23.05177545576774,27.857389851587392,0.26328164715827673,0.5142104388719787,0.798084199901938,21.071143441490975,micro_all_rows,6
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9203592852666181,0.020359285266618028,96.67868978636348,96.69807552094358,4.0935034154028,0.038370873463540664,0.04126984126984127,110.10310502971724,97.05632448761928,,452,23.261378794110126,28.002892649580783,-0.6790793651251842,0.6082228223233631,-0.2239131636965208,20.528129313566435,macro_equal_publication_weight,6
