,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
FA-0.22,960.00,Portland cement type CEM I 52.5 R,52.50,0.00,250.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Locally available sand,1.00,Straight steel fibres,192.00,13.00,0.180,,,,,,,,,211.00,acrylic-based superplasticizer,28.00,Standard Curing ,20.00,,,,,,cylinder specimens (diameter and height of 100 mm),EN 1015-11,47.75,80.08,,,,113.72,,,,,EN 12390-6,14.10,,,,,,40 x 40 x 160,EN 1015-11,,,30.03,,,,,,,,,,,,,,,,,,,,,,
FA-0.23,960.00,Portland cement type CEM I 52.5 R,52.50,0.00,250.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Locally available sand,1.00,Straight steel fibres,192.00,13.00,0.180,,,,,,,,,221.00,acrylic-based superplasticizer,28.00,Standard Curing ,20.00,,,,,,cylinder specimens (diameter and height of 100 mm),EN 1015-11,60.50,84.20,,,,119.79,,,,,EN 12390-6,16.50,,,,,,40 x 40 x 160,EN 1015-11,,,38.04,,,,,,,,,,,,,,,,,,,,,,
FA-0.24,960.00,Portland cement type CEM I 52.5 R,52.50,0.00,250.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Locally available sand,1.00,Straight steel fibres,192.00,13.00,0.180,,,,,,,,,230.00,acrylic-based superplasticizer,28.00,Standard Curing ,20.00,,,,,,cylinder specimens (diameter and height of 100 mm),EN 1015-11,51.90,77.65,,,,116.20,,,,,EN 12390-6,14.50,,,,,,40 x 40 x 160,EN 1015-11,,,37.95,,,,,,,,,,,,,,,,,,,,,,
FA-0.25,960.00,Portland cement type CEM I 52.5 R,52.50,0.00,250.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Locally available sand,1.00,Straight steel fibres,192.00,13.00,0.180,,,,,,,,,240.00,acrylic-based superplasticizer,28.00,Standard Curing ,20.00,,,,,,cylinder specimens (diameter and height of 100 mm),EN 1015-11,54.20,77.65,,,,114.89,,,,,EN 12390-6,16.00,,,,,,40 x 40 x 160,EN 1015-11,,,29.44,,,,,,,,,,,,,,,,,,,,,,
SF-0.25,960.00,Portland cement type CEM I 52.5 R,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,960.00,Locally available sand,1.00,Straight steel fibres,192.00,13.00,0.180,,,,,,,,,240.00,acrylic-based superplasticizer,28.00,Standard Curing ,20.00,,,,,,cylinder specimens (diameter and height of 100 mm),EN 1015-11,75.44,89.10,,,,123.39,,,,,EN 12390-6,16.50,,,,,,40 x 40 x 160,EN 1015-11,,,32.71,,,,,,,,,,,,,,,,,,,,,,
SF0NS0,800.00, Portland cement (CEM I 42.5 R),42.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1471.30,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,21.60,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,104,108.00,113.00,,115.00,119.50,125.00,ASTM C469,39.00,ASTM C496,7.10,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.00,,,,,,,,,,,,,,,,,,,Turkey,"Properties of low binder ultra-high performance cementitious
composites: Comparison of nanosilica and microsilica

https://doi.org/10.1016/j.conbuildmat.2015.11.020",,Ref-38-Research
SF0NS0.5,796.00, Portland cement (CEM I 42.5 R),42.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,4.00,0.00,,1461.10,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,25.20,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,100.00,109.00,114.00,,116.00,121.00,126.00,ASTM C469,39.60,ASTM C496,7.50,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.1,,,,,,,,,,,,,,,,,,,,,,
SF0NS1,792.00, Portland cement (CEM I 42.5 R),42.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,8.00,0.00,,1450.80,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,28.80,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,98.00,109.50,115.00,,121.00,123.00,130.50,ASTM C469,40.70,ASTM C496,7.95,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.4,,,,,,,,,,,,,,,,,,,,,,
SF0NS2,784.00, Portland cement (CEM I 42.5 R),42.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,16.00,0.00,,1430.20,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,36.00,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,95.00,109.60,116.00,,124.00,125.00,134.00,ASTM C469,41.50,ASTM C496,8.25,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.8,,,,,,,,,,,,,,,,,,,,,,
SF0NS3,776.00, Portland cement (CEM I 42.5 R),42.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,24.00,0.00,,1409.70,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,43.20,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,94.00,107.00,111.00,,119.50,122.00,130.00,ASTM C469,41.00,ASTM C496,8.10,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.6,,,,,,,,,,,,,,,,,,,,,,
SF10NS0,720.00, Portland cement (CEM I 42.5 R),42.50,80.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1422.90,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,29.60,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,91.00,104.00,116.00,,120.00,124.00,130.00,ASTM C469,41.00,ASTM C496,7.95,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.6,,,,,,,,,,,,,,,,,,,,,,
SF10NS0.5,716.00, Portland cement (CEM I 42.5 R),42.50,80.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,4.00,0.00,,1411.60,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,33.60,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,88.00,105.00,119.00,,125.00,129.00,132.00,ASTM C469,41.90,ASTM C496,8.40,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.7,,,,,,,,,,,,,,,,,,,,,,
SF10NS1,712.00, Portland cement (CEM I 42.5 R),42.50,80.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,8.00,0.00,,1400.30,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,37.60,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,86.00,106.00,123.00,,130.00,135.00,138.00,ASTM C469,42.90,ASTM C496,9.25,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,10.9,,,,,,,,,,,,,,,,,,,,,,
SF10NS2,704.00, Portland cement (CEM I 42.5 R),42.50,80.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,16.00,0.00,,1379.80,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,44.80,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,85.00,107.00,126.00,,132.00,137.00,141.00,ASTM C469,44.10,ASTM C496,9.55,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,11.6,,,,,,,,,,,,,,,,,,,,,,
SF10NS3,696.00, Portland cement (CEM I 42.5 R),42.50,80.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,24.00,0.00,,1359.20,Quartz sand,2.50,,,,,,,,,,,,,160.00,superplasticizer (SP) of polycarboxilate type,52.00,Standard Curing ,22.00,,,,,,50 x 50 x 50,ASTM C39,,84.00,102.00,119.00,,128.00,132.00,139.00,ASTM C469,43.60,ASTM C496,8.95,,,,,,70 x 70 x 280,RILEM 50-FMC/198 Technical Committee,,,11.25,,,,,,,,,,,,,,,,,,,,,,
SFS,692.00,Portland cement type 1 (52.5 R),52.50,166.10,0.00,,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Standard Curing ,20.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,148.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal ,"Effect of supplementary cementitious materials on autogenous
shrinkage of ultra-high performance concrete

https://doi.org/10.1016/j.conbuildmat.2016.09.123",,Ref-39-Research
GBS,692.00,Portland cement type 1 (52.5 R),52.50,0.00,0.00,,0.00,200.10,0.00,0.00,0.00,206.70,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Standard Curing ,20.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,135.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBSF,692.00,Portland cement type 1 (52.5 R),52.50,99.70,0.00,,0.00,200.10,0.00,0.00,0.00,82.70,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Standard Curing ,20.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 FAS,692.00,Portland cement type 1 (52.5 R),52.50,0.00,196.00,Class C,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Standard Curing ,20.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,134.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 FASF,692.00,Portland cement type 1 (52.5 R),52.50,99.70,78.40,Class C,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Standard Curing ,20.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFS,692.00,Portland cement type 1 (52.5 R),52.50,166.10,0.00,,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Steam Curing,90.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,180.00,,,,,,,,,,,,,,,,,,,,,,,17.01,,,,450.00,,,,,,,,,,,
GBS,692.00,Portland cement type 1 (52.5 R),52.50,0.00,0.00,,0.00,200.10,0.00,0.00,0.00,206.70,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Steam Curing,90.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,152.00,,,,,,,,,,,,,,,,,,,,,,,12.80,,,,375.00,,,,,,,,,,,
GBSF,692.00,Portland cement type 1 (52.5 R),52.50,99.70,0.00,,0.00,200.10,0.00,0.00,0.00,82.70,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Steam Curing,90.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,162.00,,,,,,,,,,,,,,,,,,,,,,,11.12,,,,420.00,,,,,,,,,,,
 FAS,692.00,Portland cement type 1 (52.5 R),52.50,0.00,196.00,Class C,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Steam Curing,90.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,165.00,,,,,,,,,,,,,,,,,,,,,,,16.95,,,,350.00,,,,,,,,,,,
 FASF,692.00,Portland cement type 1 (52.5 R),52.50,99.70,78.40,Class C,0.00,200.10,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,899.60,Silica Sand ,0.60,Straight Steel Fiber ,194.00,60.00,0.150,,,,,,,,,190.50,polycarboxylate ether-based superplasticizers,36.00,Steam Curing,90.00,95.00,,,,,40 X 40 X 40 ,BS EN 196–1,,,,,,155.00,,,,,,,,,,,,,,,,,,,,,,,13.23,,,,365.00,,,,,,,,,,,
,710.00,Portland cement,,230.00,0.00,,0.00,210.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1020.00,Locally available sand,,Steel Fiber ,156.00,13.00,,,,,,,,,,110.00,High-range waterreducing admixture,31.00,Standard Curing ,22.00,,,,,,Cylinder 75 x 150 ,ASTM C 39,,73.10,88.90,110.00,,119.00,125.00,,ASTM C 469,41.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA ,"Compressive Behavior of Ultra-High-Performance 
Fiber-Reinforced Concrete

DOI: 10.14359/18577
",2007,Ref-40-Research
,710.00,Portland cement,,230.00,0.00,,0.00,210.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1020.00,Locally available sand,,Steel Fiber ,156.00,13.00,,,,,,,,,,110.00,High-range waterreducing admixture,31.00,Steam Curing,90.00,95.00,,,,,Cylinder 75 x 150 ,ASTM C 39,,,,193.00,,198.00,194.00,,ASTM C 469,51.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSF,1251.20, cement CEM I 52.5N,52.50,291.30,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,407.80,Quartz sand,0.30,,,,,,,,,,,,,201.40,GLE NIUM®SKY 561 superplasticizer,28.20,Standard Curing ,20.00,,,"Deliverable ARCHES D06
(2009)",,179.00,40 x 40 x 40 ,,,112,125,138,,146,168,,,,,,,,,,,,,,,,,,,,,,7.70,,,,,,,,,,,,China,"Effect of cement substitution by limestone on the hydration and
microstructural development of ultra-high performance concrete
(UHPC)

https://doi.org/10.1016/j.cemconcomp.2016.12.009",2016,Ref-41-Research
CSFLS34,825.80, cement CEM I 52.5N,52.50,192.30,0.00,,486.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,444.40,Quartz sand,0.30,,,,,,,,,,,,,201.40,GLE NIUM®SKY 561 superplasticizer,10.50,Standard Curing ,20.00,,,"Deliverable ARCHES D06
(2009)",,360.00,40 x 40 x 40 ,,,114,136,149,,165,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSFLS54,575.60, cement CEM I 52.5N,52.50,134.00,0.00,,772.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,455.70,Quartz sand,0.30,,,,,,,,,,,,,201.40,GLE NIUM®SKY 561 superplasticizer,5.10,Standard Curing ,20.00,,,"Deliverable ARCHES D06
(2009)",,378.00,40 x 40 x 40 ,,,98,122,140,,158,170,,,,,,,,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,
 CSFLS74,325.30, cement CEM I 52.5N,52.50,75.70,0.00,,1058.20,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,455.40,Quartz sand,0.30,,,,,,,,,,,,,201.40,GLE NIUM®SKY 561 superplasticizer,5.20,Standard Curing ,20.00,,,"Deliverable ARCHES D06
(2009)",,444.00,40 x 40 x 40 ,,,54,76,98,,112,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 MK0-F2   ,550.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,Steel Fiber ,156.00,13.00,0.175,2310.000,200.00,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,110,,,140,142,152,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,24,,,,,,,,,,,,,,,,,,,China ,"Effects of metakaolin on mechanical properties, pore structure
and hydration heat of mortars at 0.17 w/b ratio

https://doi.org/10.1016/j.conbuildmat.2015.06.036",2015,Ref-42-Research
 MK6-F0   ,490.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,60.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,,,,,,,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,54,,,80,78,89,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,14.5,,,,,,,,,,,,,,,,,,,,,,
 MK6-F2   ,490.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,60.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,Steel Fiber ,156.00,13.00,0.175,2310.000,200.00,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,96,,,143,143,152,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,26,,,,,,,,,,,,,,,,,,,,,,
 MK10-F0  ,450.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,100.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,,,,,,,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,48,,,86,94,95,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,15,,,,,,,,,,,,,,,,,,,,,,
 MK10-F2  ,450.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,100.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,Steel Fiber ,156.00,13.00,0.175,2310.000,200.00,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,92,,,153,156,163,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,28,,,,,,,,,,,,,,,,,,,,,,
 MK14-F0  ,410.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,140.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,,,,,,,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,62,,,83,90,92,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,14,,,,,,,,,,,,,,,,,,,,,,
 MK14-F2  ,410.00,P.II52.5,52.50,100.00,350.00,Class F,0.00,0.00,0.00,0.00,140.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1000.00,Natural River sand,2.36,Steel Fiber ,156.00,13.00,0.175,2310.000,200.00,,,,,,,170, polycarboxylic ether-based superplasticizer,25,Standard Curing ,20.00,90.00,,,,,40 x 40 x 160,BS EN 196-1,,,118,,,130,142,140,,,,,,,,,,40 x 40 x160,BS EN 196-1,,,24,,,,,,,,,,,,,,,,,,,,,,
LP0,741.00,PC-type I,,185.00,0.00,,259.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,815.00,Silica sand,0.85,Steel fiber,151.00,13.00,0.200,2500.000,,,,,,,,185.00,PCE-based sppl,9.00,Standard Curing ,30.00,65.00,,,,,50 x 50 x 50  ,ASTM C109/C109M-16a,73.00,117.00,144.00,,,167.00,,165.00,,,,,,,,,,,,,,,,,,,,,,,,,779.00,,,,,,,,Singapore,"The use of limestone to replace physical filler of quartz powder in UHPFRC

https://doi.org/10.1016/j.cemconcomp.2018.09.013",2018,Ref-43-Research
LP25,741.00,PC-type I,,185.00,0.00,,194.25,64.75,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,815.00,Silica sand,0.85,Steel fiber,151.00,13.00,0.200,2500.000,,,,,,,,185.00,PCE-based sppl,9.00,Standard Curing ,30.00,65.00,,,,,50 x 50 x 50  ,ASTM C109/C109M-16a,76.00,118.00,142.00,,,159.00,,171.00,,,,,,,,,,,,,,,,,,,,,,,,,861.00,,,,,,,,,,,
LP50,741.00,PC-type I,,185.00,0.00,,129.50,129.50,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,815.00,Silica sand,0.85,Steel fiber,151.00,13.00,0.200,2500.000,,,,,,,,185.00,PCE-based sppl,9.00,Standard Curing ,30.00,65.00,,,,,50 x 50 x 50  ,ASTM C109/C109M-16a,78.00,111.00,143.00,,,160.00,,167.00,,,,,,,,,,,,,,,,,,,,,,,,,832.00,,,,,,,,,,,
LP75,741.00,PC-type I,,185.00,0.00,,64.75,194.25,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,815.00,Silica sand,0.85,Steel fiber,151.00,13.00,0.200,2500.000,,,,,,,,185.00,PCE-based sppl,9.00,Standard Curing ,30.00,65.00,,,,,50 x 50 x 50  ,ASTM C109/C109M-16a,82.00,116.00,138.00,,,158.00,,168.00,,,,,,,,,,,,,,,,,,,,,,,,,811.00,,,,,,,,,,,
LP100,741.00,PC-type I,,185.00,0.00,,0.00,259.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,815.00,Silica sand,0.85,Steel fiber,151.00,13.00,0.200,2500.000,,,,,,,,185.00,PCE-based sppl,9.00,Standard Curing ,30.00,65.00,,,,,50 x 50 x 50  ,ASTM C109/C109M-16a,82.00,115.00,136.00,,,155.00,,170.00,,,,,,,,,,,,,,,,,,,,,,,,,736.00,,,,,,,,,,,
R0,700.00,Class 42.5 Ordinary Portland cement,42.50,100.00,0.00,,200.00,150.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Quartz sand,0.60,Steel fiber,156.00,13.00,0.220,,,,,,,,,160.00,polycarboxylate superplasticizer,18.00,Standard Curing ,20.00,,,,,,100 x 100 x 100,Chinese standards GB/T 50081-2002,,,128,,,154.00,,,,,,,,,,,,,,,,,,,,,,,,,,JTG E30-2005,450.00,460.00,,,,,,,China,"Effects of Steel Slag Powder and Expansive Agent on
the Properties of Ultra-High Performance Concrete
(UHPC): Based on a Case Study

https://doi.org/10.3390/ma13030683",2020,Ref-44-Research
R1,600.00,Class 42.5 Ordinary Portland cement,42.50,100.00,0.00,,200.00,150.00,0.00,0.00,0.00,0.00,100.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,850.00,Quartz sand,0.60,Steel fiber,156.00,13.00,0.220,,,,,,,,,160.00,polycarboxylate superplasticizer,18.00,Standard Curing ,20.00,,,,,,100 x 100 x 100,Chinese standards GB/T 50081-2002,,,122,,,144.00,,,,,,,,,,,,,,,,,,,,,,,,,,JTG E30-2005,410.00,420.00,,,,,,,,,,
R2,550.00,Class 42.5 Ordinary Portland cement,42.50,100.00,0.00,,200.00,150.00,0.00,0.00,0.00,0.00,150.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,850.00,Quartz sand,0.60,Steel fiber,156.00,13.00,0.220,,,,,,,,,160.00,polycarboxylate superplasticizer,18.00,Standard Curing ,20.00,,,,,,100 x 100 x 100,Chinese standards GB/T 50081-2002,,,121,,,141.00,,,,,,,,,,,,,,,,,,,,,,,,,,JTG E30-2005,395.00,405.00,,,,,,,,,,
R3,500.00,Class 42.5 Ordinary Portland cement,42.50,100.00,0.00,,200.00,150.00,0.00,0.00,0.00,0.00,200.00,Steel Slag ,0.00,0.00,0.00,0.00,0.00,,850.00,Quartz sand,0.60,Steel fiber,156.00,13.00,0.220,,,,,,,,,160.00,polycarboxylate superplasticizer,18.00,Standard Curing ,20.00,,,,,,100 x 100 x 100,Chinese standards GB/T 50081-2002,,,114,,,132.00,,,,,,,,,,,,,,,,,,,,,,,,,,JTG E30-2005,370.00,380.00,,,,,,,,,,
