,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
S10-N5-M5,839.00,Type I/II low-alkali portland cement,,104.00,0.00,,0.00,0.00,0.00,0.00,52.00,0.00,0.00,,0.00,0.00,0.00,0.00,52.00,Pumicite,926.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.00,370.00,100 x 100 x 100 ,BS1881,,,102.50,,,123.00,153.00,,,,,,,,,,,76×102×406,ASTM C1609,,20.65,22.25,21.80,11.70,75.00,,,,,,,ASTM C157,185.00,215.00,ASTM C666,109.00,ASTM C1202,122.00,AASHTO T 358,458.00,,,,
S10-N2-M6-G2,839.00,Type I/II low-alkali portland cement,,104.00,0.00,,0.00,0.00,0.00,0.00,62.00,21.00,0.00,,0.00,0.00,0.00,0.00,21.00,Pumicite,923.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,67.80,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.00,360.00,100 x 100 x 100 ,BS1881,,,108.00,,,131.00,152.50,,,,,,,,,,,76×102×406,ASTM C1609,,19.50,21.15,20.25,10.60,72.00,,,,,,,ASTM C157,198.00,248.00,ASTM C666,106.00,ASTM C1202,121.00,AASHTO T 358,431.00,,,,
S9-M9-G2,839.00,Type I/II low-alkali portland cement,,94.00,0.00,,0.00,0.00,0.00,0.00,94.00,21.00,0.00,,0.00,0.00,0.00,0.00,0.00,,926.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,67.80,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",100.00,360.00,100 x 100 x 100 ,BS1881,,,106.00,,,130.00,152.50,,,,,,,,,,,76×102×406,ASTM C1609,,19.40,20.85,20.50,9.55,68.00,,,,,,,ASTM C157,202.00,238.00,ASTM C666,107.00,ASTM C1202,125.00,AASHTO T 358,584.00,,,,
S9-M9-G12,755.00,Type I/II low-alkali portland cement,,94.00,0.00,,0.00,0.00,0.00,0.00,94.00,105.00,0.00,,0.00,0.00,0.00,0.00,0.00,,928.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",125.00,380.00,100 x 100 x 100 ,BS1881,,,90.50,,,111.50,148.00,,,,,,,,,,,76×102×406,ASTM C1609,,16.95,18.00,16.75,9.45,60.00,,,,,,,,,,,,,,,,,,,
S7.5-N2.5-M10,839.00,Type I/II low-alkali portland cement,,78.00,0.00,,0.00,0.00,0.00,0.00,104.00,0.00,0.00,,0.00,0.00,0.00,0.00,26.00,Pumicite,940.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.00,370.00,100 x 100 x 100 ,BS1881,,,97.00,,,119.00,142.50,,,,,,,,,,,76×102×406,ASTM C1609,,15.70,17.00,16.30,9.15,56.00,,,,,,,ASTM C157,229.00,273.00,ASTM C666,107.00,ASTM C1202,162.00,AASHTO T 358,435.00,,,,
S7.5-M12.5,839.00,Type I/II low-alkali portland cement,,78.00,0.00,,0.00,0.00,0.00,0.00,130.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,934.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.00,370.00,100 x 100 x 100 ,BS1881,,,95.00,,,121.00,142.00,,,,,,,,,,,76×102×406,ASTM C1609,,15.50,16.40,15.05,8.90,52.00,,,,,,,ASTM C157,217.00,260.00,ASTM C666,106.00,ASTM C1202,160.00,AASHTO T 358,440.00,,,,
S5-M15,839.00,Type I/II low-alkali portland cement,,52.00,0.00,,0.00,0.00,0.00,0.00,156.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,946.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",135.00,390.00,100 x 100 x 100 ,BS1881,,,91.50,,,116.00,138.00,,,,,,,,,,,76×102×406,ASTM C1609,,14.20,15.05,13.65,6.05,49.00,,,,,,,,,,,,,,,,,,,
UHPC (U),856.00,Portland cement ,42.50,214.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1178.00,Quartz Sand ,0.80,Straight Steel Fibers ,160.00,13.00,0.200,2000.000,,,,,,,,182.00,High Performance Water-Reducing (SP),24.60,Standard Curing ,20.00,95.00,,Chinese standard GB/T 2419–2005,,190.00,40 X 40 X 160 ,,56.00,98.00,130.00,,,157.00,,178.00,,,,,,,,,,40 x 40 x 160 ,,,,25.00,,,,,,,1.65,,,,,,,,,,,,China,"Comparative study on the chemical and physical filling effects of binder materials in Green Ultra-High Performance Concrete and Ultra-High Performance Concrete

https://doi.org/10.1016/j.conbuildmat.2024.138470",2024,Ref-2-Research
GUHPC1 (G1),589.00,Portland cement ,42.50,214.00,161.00,Class-F,0.00,0.00,0.00,0.00,0.00,107.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1178.00,Quartz Sand ,0.80,Straight Steel Fibers ,160.00,13.00,0.200,2000.000,,,,,,,,182.00,High Performance Water-Reducing (SP),16.10,Standard Curing ,20.00,95.00,,Chinese standard GB/T 2419–2005,,210.00,40 X 40 X 160 ,,37.00,98.00,134.00,,,164.00,,186.00,,,,,,,,,,40 x 40 x 160 ,,,,23.00,,,,,,,1.12,,,,,,,,,,,,,,,
GUHPC2 (G2),375.00,Portland cement ,42.50,214.00,161.00,Class-F,0.00,0.00,0.00,0.00,0.00,321.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1178.00,Quartz Sand ,0.80,Straight Steel Fibers ,160.00,13.00,0.200,2000.000,,,,,,,,182.00,High Performance Water-Reducing (SP),9.10,Standard Curing ,20.00,95.00,,Chinese standard GB/T 2419–2005,,220.00,40 X 40 X 160 ,,30.00,78.00,122.00,,,144.00,,152.00,,,,,,,,,,40 x 40 x 160 ,,,,19.90,,,,,,,1.50,,,,,,,,,,,,,,,
