feature_group,n_repeats,baseline_rmse,mean_permuted_rmse,std_permuted_rmse,mean_rmse_delta,std_rmse_delta,min_rmse_delta,max_rmse_delta,mean_rmse_delta_percentage,permutation_rank,features_permuted,n_features_permuted
curing,30,29.127843361357257,37.35997305128372,0.8004804531143761,8.232129689926456,0.8004804531143759,6.849825064177672,9.790198731320778,28.262063853473247,1,"curing_method,curing_temp",2
fibers,30,29.127843361357257,33.1571333888173,0.4992411815521377,4.029290027460041,0.4992411815521372,3.130871679401075,5.0873562452784995,13.833121722995594,2,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6
fillers_and_aggregates,30,29.127843361357257,30.98287442869258,0.23661642298053195,1.85503106733532,0.23661642298053262,1.3851757642241154,2.294867253455539,6.368583641164164,3,"filler,filler_type,sand,sand_type,sand_max_size",5
binders_and_scms,30,29.127843361357257,29.90893488801099,0.32703962943706466,0.7810915266537305,0.327039629437065,0.3346094572035021,1.5159277340850643,2.68159752496463,4,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17
water,30,29.127843361357257,29.596992359825094,0.10228082023317604,0.4691489984678377,0.10228082023317606,0.18959211996950742,0.7262143123328642,1.6106547698970357,5,water,1
chemical_admixtures,30,29.127843361357257,29.05431474542949,0.13113460504517024,-0.07352861592776846,0.13113460504517047,-0.2828889527589702,0.16338878364621934,-0.25243412296468176,6,"sp_type,sp_amount",2
