original_feature,repeat,baseline_rmse,permuted_rmse,rmse_delta
cement,0,29.127843361357257,29.03108297961081,-0.09676038174644574
cement,1,29.127843361357257,29.259217905918327,0.13137454456106923
cement,2,29.127843361357257,28.942081101982712,-0.18576225937454538
cement,3,29.127843361357257,29.292010260173765,0.16416689881650726
cement,4,29.127843361357257,29.094062608518126,-0.03378075283913162
cement,5,29.127843361357257,29.05701457751863,-0.07082878383862834
cement,6,29.127843361357257,29.140337779189977,0.012494417832719762
cement,7,29.127843361357257,29.08817868322707,-0.039664678130186815
cement,8,29.127843361357257,29.022246651186133,-0.10559671017112393
cement,9,29.127843361357257,28.933002835627025,-0.19484052573023192
cement,10,29.127843361357257,29.220185838014743,0.0923424766574854
cement,11,29.127843361357257,29.033464132722145,-0.09437922863511261
cement,12,29.127843361357257,28.928493102544163,-0.19935025881309443
cement,13,29.127843361357257,29.091658163980323,-0.03618519737693404
cement,14,29.127843361357257,29.021898394657097,-0.10594496670016085
cement,15,29.127843361357257,29.085755991786858,-0.0420873695703996
cement,16,29.127843361357257,28.963946055212254,-0.16389730614500309
cement,17,29.127843361357257,29.20189508206877,0.07405172071151256
cement,18,29.127843361357257,29.095279505535387,-0.032563855821869936
cement,19,29.127843361357257,28.94460271608331,-0.18324064527394768
cement,20,29.127843361357257,29.113219096226466,-0.014624265130791514
cement,21,29.127843361357257,29.091151097221463,-0.03669226413579452
cement,22,29.127843361357257,29.09772520684766,-0.030118154509597872
cement,23,29.127843361357257,29.07127774172454,-0.056565619632717556
cement,24,29.127843361357257,29.11922228738147,-0.008621073975788818
cement,25,29.127843361357257,29.079035105713636,-0.04880825564362112
cement,26,29.127843361357257,29.083570011121846,-0.0442733502354109
cement,27,29.127843361357257,29.16633128598814,0.03848792463088202
cement,28,29.127843361357257,29.105485319005208,-0.022358042352049523
cement,29,29.127843361357257,29.311245668005895,0.1834023066486381
cement_type,0,29.127843361357257,29.665441413614957,0.5375980522576995
cement_type,1,29.127843361357257,29.617912652738244,0.490069291380987
cement_type,2,29.127843361357257,29.55748496302304,0.42964160166578225
cement_type,3,29.127843361357257,29.749310442864225,0.6214670815069674
cement_type,4,29.127843361357257,29.443675205904608,0.31583184454735047
cement_type,5,29.127843361357257,29.79242849149899,0.6645851301417309
cement_type,6,29.127843361357257,29.780829258533885,0.6529858971766274
cement_type,7,29.127843361357257,29.73633427656964,0.6084909152123821
cement_type,8,29.127843361357257,29.651871077993434,0.5240277166361764
cement_type,9,29.127843361357257,29.71584039876537,0.5879970374081118
cement_type,10,29.127843361357257,29.885651601028776,0.7578082396715189
cement_type,11,29.127843361357257,30.00346871788289,0.8756253565256316
cement_type,12,29.127843361357257,29.36821295423989,0.24036959288263304
cement_type,13,29.127843361357257,30.002294887492035,0.8744515261347772
cement_type,14,29.127843361357257,29.672441982969826,0.5445986216125682
cement_type,15,29.127843361357257,29.77450609375285,0.646662732395594
cement_type,16,29.127843361357257,29.68831742031694,0.5604740589596844
cement_type,17,29.127843361357257,29.858895517206346,0.7310521558490883
cement_type,18,29.127843361357257,29.626554936236143,0.49871157487888595
cement_type,19,29.127843361357257,29.63931411572914,0.5114707543718815
cement_type,20,29.127843361357257,29.464940246614876,0.33709688525761905
cement_type,21,29.127843361357257,29.82548444809811,0.6976410867408518
cement_type,22,29.127843361357257,29.53700086186953,0.40915750051227207
cement_type,23,29.127843361357257,29.765311341609618,0.6374679802523602
cement_type,24,29.127843361357257,29.833098061899328,0.7052547005420706
cement_type,25,29.127843361357257,29.75018753317935,0.6223441718220926
cement_type,26,29.127843361357257,29.67961688328137,0.5517735219241118
cement_type,27,29.127843361357257,29.597017780980327,0.4691744196230694
cement_type,28,29.127843361357257,29.79905258820716,0.6712092268499035
cement_type,29,29.127843361357257,29.56492820857347,0.4370848472162123
silica_fume,0,29.127843361357257,29.984175013525395,0.8563316521681372
silica_fume,1,29.127843361357257,30.012081770953056,0.8842384095957989
silica_fume,2,29.127843361357257,29.989624655273747,0.8617812939164899
silica_fume,3,29.127843361357257,29.73450518216558,0.6066618208083234
silica_fume,4,29.127843361357257,30.164174146382443,1.0363307850251857
silica_fume,5,29.127843361357257,30.041649102045856,0.9138057406885984
silica_fume,6,29.127843361357257,29.820279197910583,0.6924358365533259
silica_fume,7,29.127843361357257,30.21257383855043,1.0847304771931725
silica_fume,8,29.127843361357257,29.943017980085976,0.8151746187287188
silica_fume,9,29.127843361357257,30.050689628660223,0.9228462673029654
silica_fume,10,29.127843361357257,30.015743635583938,0.8879002742266806
silica_fume,11,29.127843361357257,30.03219723584353,0.9043538744862722
silica_fume,12,29.127843361357257,30.226541607753386,1.098698246396129
silica_fume,13,29.127843361357257,29.778506065348658,0.6506627039914008
silica_fume,14,29.127843361357257,30.075781065364996,0.9479377040077388
silica_fume,15,29.127843361357257,30.28053569588018,1.1526923345229214
silica_fume,16,29.127843361357257,30.10734574667042,0.979502385313161
silica_fume,17,29.127843361357257,30.15860246880641,1.0307591074491533
silica_fume,18,29.127843361357257,30.181742441523884,1.0538990801666266
silica_fume,19,29.127843361357257,29.899274916956497,0.7714315555992393
silica_fume,20,29.127843361357257,29.82253978969905,0.6946964283417927
silica_fume,21,29.127843361357257,30.353351786227144,1.2255084248698864
silica_fume,22,29.127843361357257,30.10934985485336,0.9815064934961022
silica_fume,23,29.127843361357257,30.096546064955216,0.968702703597959
silica_fume,24,29.127843361357257,29.88401432961339,0.7561709682561322
silica_fume,25,29.127843361357257,29.93277791437656,0.8049345530193044
silica_fume,26,29.127843361357257,29.956775415027842,0.8289320536705844
silica_fume,27,29.127843361357257,29.889736876661658,0.7618935153044006
silica_fume,28,29.127843361357257,30.109167296487218,0.9813239351299607
silica_fume,29,29.127843361357257,30.087187955850904,0.959344594493647
fly_ash,0,29.127843361357257,29.311852822340093,0.18400946098283555
fly_ash,1,29.127843361357257,29.210297054285206,0.08245369292794891
fly_ash,2,29.127843361357257,29.16728548721178,0.039442125854524335
fly_ash,3,29.127843361357257,29.29983621487717,0.17199285351991378
fly_ash,4,29.127843361357257,29.302144603803143,0.1743012424458854
fly_ash,5,29.127843361357257,29.26763693645869,0.1397935751014323
fly_ash,6,29.127843361357257,29.314654656024377,0.18681129466711965
fly_ash,7,29.127843361357257,29.354574133622553,0.22673077226529514
fly_ash,8,29.127843361357257,29.284863946115305,0.15702058475804748
fly_ash,9,29.127843361357257,29.23107192923771,0.10322856788045343
fly_ash,10,29.127843361357257,29.247516372718255,0.11967301136099806
fly_ash,11,29.127843361357257,29.20735611817067,0.0795127568134113
fly_ash,12,29.127843361357257,29.369164081105595,0.24132071974833735
fly_ash,13,29.127843361357257,29.310993639515544,0.183150278158287
fly_ash,14,29.127843361357257,29.417506796492596,0.28966343513533843
fly_ash,15,29.127843361357257,29.256277741907333,0.1284343805500754
fly_ash,16,29.127843361357257,29.214326028917732,0.08648266756047462
fly_ash,17,29.127843361357257,29.358709417147697,0.23086605579043962
fly_ash,18,29.127843361357257,29.268516193118295,0.1406728317610373
