feature_group,features_permuted,n_features_permuted,repeat,baseline_rmse,permuted_rmse,rmse_delta
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,19,29.127843361357257,29.618073170517174,0.4902298091599171
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,20,29.127843361357257,29.588417372216174,0.4605740108589167
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,21,29.127843361357257,30.295047902924285,1.1672045415670276
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,22,29.127843361357257,30.33062765962162,1.202784298264362
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,23,29.127843361357257,29.883069138754934,0.7552257773976763
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,24,29.127843361357257,30.210953027708896,1.083109666351639
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,25,29.127843361357257,30.10016058287377,0.9723172215165121
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,26,29.127843361357257,29.748375888840613,0.6205325274833555
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,27,29.127843361357257,29.940853916619997,0.8130105552627391
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,28,29.127843361357257,29.824561810343173,0.6967184489859157
binders_and_scms,"cement,cement_type,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2",17,29,29.127843361357257,30.42699125406663,1.299147892709371
chemical_admixtures,"sp_type,sp_amount",2,0,29.127843361357257,29.040169005719818,-0.0876743556374393
chemical_admixtures,"sp_type,sp_amount",2,1,29.127843361357257,29.145049257650978,0.017205896293720713
chemical_admixtures,"sp_type,sp_amount",2,2,29.127843361357257,29.007925935692853,-0.11991742566440422
chemical_admixtures,"sp_type,sp_amount",2,3,29.127843361357257,29.284380886994086,0.15653752563682843
chemical_admixtures,"sp_type,sp_amount",2,4,29.127843361357257,28.915271739890553,-0.21257162146670439
chemical_admixtures,"sp_type,sp_amount",2,5,29.127843361357257,28.99368245815018,-0.13416090320707852
chemical_admixtures,"sp_type,sp_amount",2,6,29.127843361357257,28.987726268518667,-0.1401170928385902
chemical_admixtures,"sp_type,sp_amount",2,7,29.127843361357257,29.18764017421026,0.05979681285300131
chemical_admixtures,"sp_type,sp_amount",2,8,29.127843361357257,28.982980567969356,-0.14486279338790098
chemical_admixtures,"sp_type,sp_amount",2,9,29.127843361357257,28.94880937118072,-0.17903399017653854
chemical_admixtures,"sp_type,sp_amount",2,10,29.127843361357257,28.898222424174193,-0.2296209371830642
chemical_admixtures,"sp_type,sp_amount",2,11,29.127843361357257,29.00168294608543,-0.1261604152718263
chemical_admixtures,"sp_type,sp_amount",2,12,29.127843361357257,29.291232145003477,0.16338878364621934
chemical_admixtures,"sp_type,sp_amount",2,13,29.127843361357257,28.98420620251831,-0.14363715883894912
chemical_admixtures,"sp_type,sp_amount",2,14,29.127843361357257,29.160073153540242,0.03222979218298505
chemical_admixtures,"sp_type,sp_amount",2,15,29.127843361357257,29.271705800059568,0.1438624387023104
chemical_admixtures,"sp_type,sp_amount",2,16,29.127843361357257,28.889096590526883,-0.23874677083037454
chemical_admixtures,"sp_type,sp_amount",2,17,29.127843361357257,29.03489286948776,-0.09295049186949811
chemical_admixtures,"sp_type,sp_amount",2,18,29.127843361357257,28.844954408598287,-0.2828889527589702
chemical_admixtures,"sp_type,sp_amount",2,19,29.127843361357257,29.225227191028235,0.09738382967097792
chemical_admixtures,"sp_type,sp_amount",2,20,29.127843361357257,29.165375402053805,0.03753204069654714
chemical_admixtures,"sp_type,sp_amount",2,21,29.127843361357257,28.967114013505064,-0.16072934785219317
chemical_admixtures,"sp_type,sp_amount",2,22,29.127843361357257,29.24163643044566,0.11379306908840192
chemical_admixtures,"sp_type,sp_amount",2,23,29.127843361357257,29.050136476336615,-0.0777068850206426
chemical_admixtures,"sp_type,sp_amount",2,24,29.127843361357257,28.847980805223838,-0.2798625561334198
chemical_admixtures,"sp_type,sp_amount",2,25,29.127843361357257,29.129565990521588,0.0017226291643304137
chemical_admixtures,"sp_type,sp_amount",2,26,29.127843361357257,29.067708536399405,-0.06013482495785283
chemical_admixtures,"sp_type,sp_amount",2,27,29.127843361357257,29.047342966151724,-0.08050039520553298
chemical_admixtures,"sp_type,sp_amount",2,28,29.127843361357257,29.10564880794206,-0.02219455341519705
chemical_admixtures,"sp_type,sp_amount",2,29,29.127843361357257,28.912003537305058,-0.2158398240521997
curing,"curing_method,curing_temp",2,0,29.127843361357257,37.51298116636476,8.385137805007503
curing,"curing_method,curing_temp",2,1,29.127843361357257,37.49631638268227,8.36847302132501
curing,"curing_method,curing_temp",2,2,29.127843361357257,36.51313310736097,7.385289746003714
curing,"curing_method,curing_temp",2,3,29.127843361357257,38.11133822760481,8.983494866247554
curing,"curing_method,curing_temp",2,4,29.127843361357257,37.206510672998725,8.078667311641468
curing,"curing_method,curing_temp",2,5,29.127843361357257,37.1646500675543,8.03680670619704
curing,"curing_method,curing_temp",2,6,29.127843361357257,37.42590739334653,8.29806403198927
curing,"curing_method,curing_temp",2,7,29.127843361357257,36.65983346758957,7.531990106232314
curing,"curing_method,curing_temp",2,8,29.127843361357257,38.22230214501267,9.094458783655412
curing,"curing_method,curing_temp",2,9,29.127843361357257,36.03281330791713,6.9049699465598735
curing,"curing_method,curing_temp",2,10,29.127843361357257,38.43541542220023,9.307572060842972
curing,"curing_method,curing_temp",2,11,29.127843361357257,37.95022459463298,8.82238123327572
curing,"curing_method,curing_temp",2,12,29.127843361357257,36.50495471855982,7.3771113572025655
curing,"curing_method,curing_temp",2,13,29.127843361357257,37.39167856192921,8.263835200571954
curing,"curing_method,curing_temp",2,14,29.127843361357257,37.404636631295325,8.276793269938068
curing,"curing_method,curing_temp",2,15,29.127843361357257,36.31123581089746,7.1833924495402
curing,"curing_method,curing_temp",2,16,29.127843361357257,37.45734601637336,8.3295026550161
curing,"curing_method,curing_temp",2,17,29.127843361357257,36.080593666973115,6.952750305615858
curing,"curing_method,curing_temp",2,18,29.127843361357257,37.62694484641144,8.499101485054183
curing,"curing_method,curing_temp",2,19,29.127843361357257,38.918042092678036,9.790198731320778
curing,"curing_method,curing_temp",2,20,29.127843361357257,38.13343702242279,9.005593661065532
curing,"curing_method,curing_temp",2,21,29.127843361357257,37.848683988789254,8.720840627431997
curing,"curing_method,curing_temp",2,22,29.127843361357257,38.63850655236809,9.510663191010835
curing,"curing_method,curing_temp",2,23,29.127843361357257,37.17640653297061,8.048563171613353
curing,"curing_method,curing_temp",2,24,29.127843361357257,37.66779187623121,8.539948514873956
curing,"curing_method,curing_temp",2,25,29.127843361357257,36.792842554618986,7.664999193261728
curing,"curing_method,curing_temp",2,26,29.127843361357257,36.38068325124314,7.252839889885884
curing,"curing_method,curing_temp",2,27,29.127843361357257,37.4395479593004,8.311704597943141
curing,"curing_method,curing_temp",2,28,29.127843361357257,38.316765074649254,9.188921713291997
curing,"curing_method,curing_temp",2,29,29.127843361357257,35.97766842553493,6.849825064177672
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,0,29.127843361357257,32.38231434329814,3.2544709819408837
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,1,29.127843361357257,33.03575702850648,3.9079136671492236
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,2,29.127843361357257,33.21268069010838,4.084837328751121
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,3,29.127843361357257,32.68970384346726,3.5618604821099993
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,4,29.127843361357257,32.86732693901507,3.739483577657815
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,5,29.127843361357257,32.4842454220768,3.356402060719546
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,6,29.127843361357257,32.77061481124748,3.642771449890226
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,7,29.127843361357257,33.387370927379884,4.259527566022626
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,8,29.127843361357257,33.18030082989193,4.052457468534669
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,9,29.127843361357257,33.22891417150965,4.101070810152393
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,10,29.127843361357257,33.05011037211803,3.92226701076077
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,11,29.127843361357257,33.24392725266822,4.116083891310964
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,12,29.127843361357257,34.20444487478156,5.0766015134243005
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,13,29.127843361357257,33.60926310577912,4.4814197444218635
