strength_bin,n_rows,MAE,RMSE,Bias,MedianAE,ActualMean,PredictedMean
>180,62,27.97056581157802,31.94308571545566,24.82996902652005,27.597224919905713,207.26951612903227,182.4395471025122
<=120,63,14.590883962412935,18.53542846130789,-9.680013355001758,12.440693522171628,102.88603174603175,112.56604510103351
150-180,86,13.309736198125007,16.72939984360857,5.608569448745302,10.092850002301574,164.00169240828444,158.3931229595391
120-150,102,13.589222506095377,16.627964205225034,-5.679639025179125,11.99773675767539,135.25529411764703,140.93493314282614
