FeatureSet,Model,RandomState,MAE,RMSE,R,R2
original,OLS,42,8.719076062834676,10.943202957688847,0.7899950550353253,0.6165157788174314
original,Elastic Net,42,8.75035773784959,10.951966552309827,0.7903140671889067,0.6159013250897596
original,Bayesian Ridge,42,8.746356806318818,10.950306487308653,0.790304350357248,0.6160177572280936
original,Polynomial Ridge,42,4.6863537894251985,6.57124826505012,0.928703301305501,0.8617216011645439
yeh_engineered,OLS,42,8.4461033273548,10.686445442952536,0.8026030061803763,0.6342998510858248
yeh_engineered,Elastic Net,42,8.584686956225985,10.762455631754719,0.802937081113632,0.6290790704114169
yeh_engineered,Bayesian Ridge,42,8.493256188695536,10.705943220726134,0.8029211669185293,0.6329641693484811
yeh_engineered,Polynomial Ridge,42,4.720946029937554,6.7114603481081625,0.9259557303119863,0.8557576966945201
log_transformed,OLS,42,4.883264957816111,6.484716077366286,0.9314996578706556,0.8653394067941191
log_transformed,Elastic Net,42,4.8723507546481475,6.480467547428753,0.9316404970025396,0.8655157976007543
log_transformed,Bayesian Ridge,42,4.863501697662306,6.479163090766538,0.9317739197026589,0.8655699329409655
log_transformed,Polynomial Ridge,42,4.0260224510754465,5.79509955164808,0.9459635634299397,0.8924574343598322
aggressive_interactions,OLS,42,4.488905628370884,6.190868793390381,0.9384378896822385,0.877266875333866
aggressive_interactions,Elastic Net,42,4.472891457258817,6.177204111756918,0.9388113921583477,0.8778080782720075
aggressive_interactions,Bayesian Ridge,42,4.484642394876814,6.1836881746871315,0.9387724821282992,0.8775514197822075
aggressive_interactions,Polynomial Ridge,42,3.777048718886761,5.664883450366811,0.9487659900606104,0.8972361066985676
