policy,experiment,exploratory,model,split,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,experiment_family,lower_quantile,upper_quantile,lower_threshold,upper_threshold,training_rows_before,training_rows_after,training_rows_removed
shared_semantic_recoding_50_percent,original_training,False,Elastic Net,test,313,16.52981759152751,20.933014799672115,0.6892877445542857,0.834423890574175,2.899709568603058,13.798908193327918,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Bayesian Ridge,train,1449,17.705359420114835,22.68745280561107,0.5976431703324974,0.7733013774491702,0.052202920673968006,14.251152685325536,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Bayesian Ridge,validation,311,16.990839823943833,21.742525107241676,0.6690124900344376,0.8194996641978299,-1.2763691704639266,13.95706658674223,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Bayesian Ridge,test,313,16.562743701630453,20.93484018166194,0.6892335532885363,0.8346953681789946,2.6601630361116855,13.809537784439982,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Polynomial Ridge,train,1449,8.80129161838028,12.428293657751121,0.8792567358935234,0.938172029569814,0.03567291678933739,5.803524753175196,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Polynomial Ridge,validation,311,30.645163356341047,343.3436490447942,-81.53719058237076,0.11176465173831365,-19.820460319623603,7.9842388460673135,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,original_training,False,Polynomial Ridge,test,313,11.1444604733047,15.508809541739222,0.8294499905922634,0.9133973986388271,1.413218455419179,7.7219248744744675,outlier_sensitivity,,,,,,,
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,OLS,train,1375,16.399947148994833,21.094882859294923,0.5354183991007493,0.7317356456133487,-0.049036630318450826,13.418296987257506,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,OLS,validation,311,17.48411927981558,22.810655000929525,0.6356933009211714,0.8067440733771497,0.6384063791805507,12.937989864906172,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,OLS,test,313,17.23660721000369,22.406505282550864,0.6440056762447457,0.8174334402674529,3.9505922288603506,13.237726976776344,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
