Model,MAE,RMSE,R,R2,FeatureSet,RandomState
OLS,4.883264957816111,6.484716077366286,0.9314996578706556,0.8653394067941191,log_transformed,42
Elastic Net,4.8723507546481475,6.480467547428753,0.9316404970025396,0.8655157976007543,log_transformed,42
Bayesian Ridge,4.863501697662306,6.479163090766538,0.9317739197026589,0.8655699329409655,log_transformed,42
Polynomial Ridge,4.0260224510754465,5.79509955164808,0.9459635634299397,0.8924574343598322,log_transformed,42
