Model,MAE,RMSE,R,R2
OLS,8.719076062834676,10.943202957688847,0.7899950550353253,0.6165157788174314
Elastic Net,8.75035773784959,10.951966552309827,0.7903140671889067,0.6159013250897596
Bayesian Ridge,8.746356806318818,10.950306487308653,0.790304350357248,0.6160177572280936
Polynomial Ridge,4.6863537894251985,6.57124826505012,0.928703301305501,0.8617216011645439
