curing_group,n_rows,MAE,RMSE,Bias,MedianAE,ActualMean,PredictedMean
autoclave,12,29.689885710399512,32.76932116812461,10.657185544124063,32.228391981978405,217.33333333333334,206.6761477892093
water,19,24.66740502073344,26.65140623221859,2.6562956274866885,22.195109920650367,144.2842105263158,141.6279148988291
steam,62,17.16947520248979,22.103976728980612,3.9783008064390666,14.288349536011282,168.80871850181381,164.83041769537482
heat,34,17.73664565898435,21.943517624249175,-0.8219715568354523,13.629053926233595,168.8820588235294,169.70403038036486
standard_or_normal,181,14.577074207102589,18.721459879056432,2.6596718034235076,11.63354527906867,139.3688674033149,136.70919559989142
other,5,10.635121649239702,11.772611549906852,-9.166605327049975,8.712398650681465,89.884,99.05060532704996
