model,tuned,cv_strategy,grouping,scoring,candidate_count,best_cv_RMSE,best_parameters,note
OLS,False,GroupKFold(n_splits=3),feature_hash_group,neg_root_mean_squared_error,1,,{},No meaningful hyperparameters; fitted as reference baseline.
Elastic Net,True,GroupKFold(n_splits=3),feature_hash_group,neg_root_mean_squared_error,25,24.280671369734872,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",Best estimator refitted on all supplied training rows.
Bayesian Ridge,True,GroupKFold(n_splits=3),feature_hash_group,neg_root_mean_squared_error,9,24.382700162358706,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-07}",Best estimator refitted on all supplied training rows.
Polynomial Ridge,True,GroupKFold(n_splits=3),feature_hash_group,neg_root_mean_squared_error,5,18.638057171775927,"{""model__alpha"": 100.0, ""poly__degree"": 2}",Best estimator refitted on all supplied training rows.
