feature_group,mean_abs_shap,mean_signed_shap,std_signed_shap,max_abs_shap,mean_abs_share,shap_rank,sum_mean_abs_original_feature_shap
curing,12.409180681872996,5.9542248171560805,14.239551950611137,36.6908404217755,0.31941010544023163,1,12.409180681872995
fibers,8.806061313831322,2.0337165006459075,9.285577463813647,31.953757279572464,0.2266664532391563,2,9.85266496654867
fillers_and_aggregates,7.423269782242846,4.839610357255218,6.19254173804552,29.57199740486532,0.19107364496038529,3,10.026638200014352
binders_and_scms,5.944036099689842,-3.117603488684019,6.359824960913649,20.43703151177046,0.15299843285511014,4,15.021216375923556
water,2.388266897636201,1.9408031557091066,2.117671216031455,7.895085106306142,0.06147356551168003,5,2.388266897636201
chemical_admixtures,1.8794923080604995,0.12635173539158037,2.16115207592007,5.636046041059349,0.048377797993436666,6,2.650482933112013
