original_feature,mean_abs_shap,mean_signed_shap,std_signed_shap,max_abs_shap,mean_abs_share,shap_rank,feature_group,mapping_status
curing_temp,10.637911875406033,5.487618627142081,12.918413335141155,34.427781676342285,0.2032135022948605,1,curing,configured
sand_type,6.964597224880232,4.226041343232789,5.9991511181670525,10.766623476558992,0.13304304554477783,2,fillers_and_aggregates,configured
fiber1_amount,6.077020859609586,1.1782052593962973,6.598792245710934,29.084830216347335,0.11608788518499098,3,fibers,configured
cement_type,3.4488171795245597,-1.811258869434673,3.3494488859892604,14.03058451154524,0.06588193491677313,4,binders_and_scms,configured
fiber1_type,3.2549000296384407,0.6592246960322486,3.273193492477081,5.796379629332266,0.06217758168984894,5,fibers,configured
silica_fume,2.8764907122192827,1.6181629152676404,3.142658841327601,9.619354474685583,0.054948918433901484,6,binders_and_scms,configured
water,2.388266897636201,1.9408031557091066,2.117671216031455,7.895085106306142,0.04562249493771156,7,water,configured
fly_ash_type,2.273405562810668,-1.1260210774548873,2.425041213321253,7.583759216711348,0.043428326157076855,8,binders_and_scms,configured
slag,1.8648641492372613,-1.8648641492372613,4.26331724259036,16.999201305202412,0.03562405662964421,9,binders_and_scms,configured
curing_method,1.7712688064669615,0.46660619001399894,2.184883478084,4.51040970765265,0.03383612704105523,10,curing,configured
fly_ash,1.5454325055565656,1.1647948443340839,1.1812991287766337,8.102468841670364,0.029522029858184383,11,binders_and_scms,configured
sp_type,1.3329784277299872,0.45050701110683855,1.7176017218237598,5.102581167051729,0.025463570102395514,12,chemical_admixtures,configured
sp_amount,1.317504505382026,-0.3241552757152581,1.7181283417780409,4.9808116941726155,0.02516797544139463,13,chemical_admixtures,configured
cement,1.2951871368356522,-0.4243816997544452,1.8106267622118422,6.720464322108881,0.024741652054114206,14,binders_and_scms,configured
sand_max_size,1.2773225523265292,0.5745092827191894,1.3068280591010486,4.573603605128407,0.024400389142025754,15,fillers_and_aggregates,configured
filler_type,0.948657575625078,-0.1412985091049913,2.4595980649757463,11.413121349443044,0.01812198020431199,16,fillers_and_aggregates,configured
filler,0.6325942560609795,0.27592950833032603,1.1063003013439785,12.103597826897946,0.012084297727918225,17,fillers_and_aggregates,configured
limestone_powder,0.43075320636478454,-0.08523345640548585,0.8173432779286428,3.8200828676846137,0.00822857612615705,18,binders_and_scms,configured
fiber1_length,0.4184649821642146,0.24391822787055167,0.5121139851095887,1.0335860516080586,0.007993837099736325,19,fibers,configured
rice_husk_ash,0.3714745794277934,-0.300217148384757,0.6463830324923683,11.080530527192156,0.007096190604244024,20,binders_and_scms,configured
ggbfs,0.32828370479371466,0.06820777743142532,0.7005465803845027,5.460000854947251,0.00627112559107532,21,binders_and_scms,configured
glass_powder,0.3230373363112374,-0.1173985987715161,0.7550080105063603,8.270281476913432,0.006170905460833559,22,binders_and_scms,configured
sand,0.20346659112153329,-0.09557126792209612,0.28597660727593427,0.9235279121655285,0.00388677393327485,23,fillers_and_aggregates,configured
slag_type,0.11782091039010457,-0.11782091039010457,0.2414166075493611,1.421664663496823,0.0022507048492567258,24,binders_and_scms,configured
metakaolin,0.11226690629020965,-0.08984491635468124,0.20312952531002548,3.486619434974666,0.002144608028929702,25,binders_and_scms,configured
fiber1_diameter,0.05495483582496665,-0.02458256985190534,0.06807850127278371,0.13479394189444488,0.0010497891679145247,26,fibers,configured
fiber2_amount,0.035186686056372755,-0.035186686056372755,0.0,0.035186686056372755,0.0006721629010855403,27,fibers,configured
nano_caco3,0.029831904782961594,-0.029831904782961594,0.5252448841480533,9.277722387501036,0.0005698717870645116,28,binders_and_scms,configured
fiber2_type,0.012137573255088227,0.012137573255088227,1.734723475976807e-18,0.012137573255088229,0.00023186117721366866,29,fibers,configured
nano_sio2,0.0035505813787602464,-0.0018962947463952464,0.008500888114101464,0.1310984362314453,6.782591222896783e-05,30,binders_and_scms,configured
quartz_powder,0.0,0.0,0.0,0.0,0.0,31,binders_and_scms,configured
nano_tio2,0.0,0.0,0.0,0.0,0.0,32,binders_and_scms,configured
nano_al2o3,0.0,0.0,0.0,0.0,0.0,33,binders_and_scms,configured
