transformed_feature,mean_abs_shap,mean_signed_shap,std_signed_shap,max_abs_shap,mean_abs_share,shap_rank,original_feature,transform_family,transformed_detail,mapping_status,feature_group
ohe__fiber2_type_PE Fiber,0.015352005177769999,0.015352005177769999,1.734723475976807e-18,0.015352005177769997,0.00028313589151002206,39,fiber2_type,ohe,PE Fiber,mapped,fibers
ohe__fiber2_type_Hooked Steel Fiber,0.011365066828226968,-0.011365066828226968,1.734723475976807e-18,0.011365066828226966,0.00020960508358481685,40,fiber2_type,ohe,Hooked Steel Fiber,mapped,fibers
ohe__slag_type_Steel Slag,0.008833786573999894,-0.008833786573999894,0.08950795467885167,0.9157692081713223,0.00016292086981969331,41,slag_type,ohe,Steel Slag,mapped,binders_and_scms
ohe__fiber2_type_not_applicable,0.008150634905545198,0.008150634905545198,0.0,0.008150634905545198,0.0001503215543267203,42,fiber2_type,ohe,not_applicable,mapped,fibers
ohe__curing_method_Air Curing,0.00789730299163697,0.00789730299163697,0.0,0.00789730299163697,0.0001456493726500095,43,curing_method,ohe,Air Curing,mapped,curing
num__nano_sio2,0.0035505813787602464,-0.0018962947463952464,0.008500888114101464,0.1310984362314453,6.548310871532634e-05,44,nano_sio2,num,,mapped,binders_and_scms
ohe__sp_type_Other_Polymer_SP,0.0017536053606030844,-0.0017536053606030844,0.02179696898730859,0.2726856335737796,3.234161344930121e-05,45,sp_type,ohe,Other_Polymer_SP,mapped,chemical_admixtures
ohe__fiber2_type_Straight Steel Fiber,0.0,0.0,0.0,0.0,0.0,46,fiber2_type,ohe,Straight Steel Fiber,mapped,fibers
num__nano_tio2,0.0,0.0,0.0,0.0,0.0,47,nano_tio2,num,,mapped,binders_and_scms
ohe__fiber2_type_PVA Fiber,0.0,0.0,0.0,0.0,0.0,48,fiber2_type,ohe,PVA Fiber,mapped,fibers
num__nano_al2o3,0.0,0.0,0.0,0.0,0.0,49,nano_al2o3,num,,mapped,binders_and_scms
ohe__fiber2_type_PP Fiber,0.0,0.0,0.0,0.0,0.0,50,fiber2_type,ohe,PP Fiber,mapped,fibers
ohe__fiber2_type_Cellulose Fiber,0.0,0.0,0.0,0.0,0.0,51,fiber2_type,ohe,Cellulose Fiber,mapped,fibers
ohe__sp_type_VMA,0.0,0.0,0.0,0.0,0.0,52,sp_type,ohe,VMA,mapped,chemical_admixtures
"ohe__slag_type_Steel Slag 
Powder",0.0,0.0,0.0,0.0,0.0,53,slag_type,ohe,"Steel Slag 
Powder",mapped,binders_and_scms
ohe__slag_type_Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,54,slag_type,ohe,Phosphorous Slag,mapped,binders_and_scms
ohe__curing_method_Heat Curing,0.0,0.0,0.0,0.0,0.0,55,curing_method,ohe,Heat Curing,mapped,curing
ohe__fly_ash_type_unknown_type,0.0,0.0,0.0,0.0,0.0,56,fly_ash_type,ohe,unknown_type,mapped,binders_and_scms
num__quartz_powder,0.0,0.0,0.0,0.0,0.0,57,quartz_powder,num,,mapped,binders_and_scms
ohe__curing_method_Water Curing,0.0,0.0,0.0,0.0,0.0,58,curing_method,ohe,Water Curing,mapped,curing
