split,n_rows,row_percentage,n_publications,target_mean,target_std,target_min,target_max,missing_predictor_cells,missing_predictor_cells_per_row
train,1451,69.99517607332368,115,145.91249207443144,34.59387751422815,80.0,298.0,373,0.2570640937284631
validation,311,15.002411963338158,25,152.209903426618,34.9488236981725,83.0,291.0,16,0.05144694533762058
test,311,15.002411963338158,25,168.14556270096463,40.084689534603754,83.0,281.0,54,0.17363344051446947
