aggregation,n_publications,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,MaximumAE
micro_all_held_out_rows,6,452,23.146715289805353,28.38435112350812,0.23514592286710523,0.5080787047182928,0.50959606738288,19.834696600450073,89.30088458332747
macro_equal_publication_weight,6,452,22.956236084852893,27.94389121794933,-0.46971196302628854,,-0.910342463989433,19.667267603877615,65.7131530405537
