publication_group,publication_source,publication_country,publication_year,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,MaximumAE,target_mean,target_min,target_max,worst_row_squared_error_share,dominant_residual_direction,numeric_out_of_training_range_rate,unseen_category_rate
Ref-121-Research,shared_semantic_dataset,,,80,28.442718500140757,35.16850844769953,-0.4636634650370155,0.3205748469932736,-20.098381359823644,23.98087108718083,89.30088458332747,165.075,110.0,225.0,0.08059602735334306,overprediction,0.0,0.0
Ref-48-Research,shared_semantic_dataset,,,72,25.78965980024041,30.512740611954115,-0.16416882018804801,0.39657303851425585,14.738535793325289,23.09607243470502,61.519867954338594,188.10416666666666,100.0,234.0,0.056459348004459675,underprediction,0.0,0.09259259259259259
Ref-85-Research,shared_semantic_dataset,,,64,23.80542454981829,28.77535522525435,0.10360045377494742,0.9434603083598103,19.2991046829597,19.122339038914276,61.41444951856312,173.25,112.0,232.0,0.071173736429489,underprediction,0.0,0.0
Ref-144-Research,shared_semantic_dataset,,,112,22.251623467636232,26.69053158505694,0.2048304072649637,0.795836649246195,15.321170752791913,19.329942272037187,67.01668712869693,157.05357142857142,90.0,229.0,0.05629028413888252,underprediction,0.00818452380952381,0.0
Ref-139-Research,shared_semantic_dataset,,,51,19.0631799165336,25.504933739653175,-0.6673602809460104,0.47350379268403425,-16.393677717467146,14.413679236665786,64.18888864635959,134.10196078431372,80.0,169.3,0.12419414947719201,overprediction,0.00980392156862745,0.004357298474945534
Ref-141-Research,shared_semantic_dataset,,,73,18.384810274748073,21.01127769807785,-1.8315100730265685,0.6024040742177326,-18.32880693572271,18.060701553762584,50.83814041203655,132.5068493150685,105.4,163.7,0.08019578208128894,overprediction,0.0,0.0
