model,candidate_parameters,rank_cv_RMSE,mean_cv_RMSE,std_cv_RMSE,mean_train_cv_RMSE,mean_fit_time_seconds,std_fit_time_seconds
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",1,26.623892291581118,2.7280522378128236,20.610641243573482,0.009507894515991211,0.00011301007116512118
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}",2,26.670604623071085,2.664267321819054,20.510785835346578,0.009476582209269205,0.0003383179706295613
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",3,26.736675348326383,2.6033876858675082,20.391976754037938,0.009572982788085938,0.000595681301167717
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",4,26.753335892088245,3.0778791194907784,21.88611532761317,0.009416580200195312,0.0005009208201264178
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.7}",5,26.814004859900763,3.21662121618879,22.21754618186806,0.008851051330566406,0.0002529112851382403
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",6,26.854035954556107,2.5175940087976367,20.236286118120294,0.009642998377482096,0.00042605297056715264
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.5}",7,26.96854690872279,3.346422248560132,22.57148842890473,0.008723974227905273,8.474363605626538e-05
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.9}",8,27.093145575815196,2.361540619082094,20.00735251375788,0.009459575017293295,0.0003648238132025314
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.3}",9,27.14159112162829,3.441611660139523,22.915999326303766,0.008867263793945312,0.00021913326442457188
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.1}",10,27.3143241276064,3.509453770027853,23.224024532631798,0.008975982666015625,0.0002456013034451316
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}",11,27.662405317224128,2.284940987294556,19.71773376805021,0.010582367579142252,0.001265247517474298
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.3}",12,27.766486992864074,2.287187344167524,19.67914858323158,0.01029364267985026,0.0007141531375357778
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}",13,27.895709383850953,2.2999180074882255,19.636312500951078,0.010329564412434896,0.0007648031086040675
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",14,28.06345982880364,2.3270185380125556,19.588085142827158,0.011017084121704102,0.00110145404669498
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.9}",15,28.32983569975092,2.394487443589486,19.536793940977436,0.012845754623413086,0.0022814252365168115
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.1}",16,28.514642816397284,2.4902985496167163,19.52135763672153,0.02013095219930013,0.0074130394115711
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.3}",17,28.555685298200974,2.507418017076592,19.518005584226447,0.019921223322550457,0.007389851059816371
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.5}",18,28.59942763729426,2.524524381373098,19.51518443346669,0.021482308705647785,0.008281609932802995
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.7}",19,28.649268522942563,2.54198587108535,19.51310647083234,0.027791897455851238,0.013215300359665972
