diagnostic_case,policy,experiment,exploratory,model,split,row_position,Actual,Predicted,Residual,AbsoluteError,SquaredError,semantic_row_id,modeling_row_id,publication_country,publication_source,publication_year,publication_reference_id,publication_group
largest_absolute_error,shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,15,110.0,199.30088458332747,-89.30088458332747,89.30088458332747,7974.647987364774,1357,1357,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
largest_underprediction,shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,95,229.0,161.98331287130307,67.01668712869693,67.01668712869693,4491.236353705653,1831,1831,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
largest_overprediction,shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,15,110.0,199.30088458332747,-89.30088458332747,89.30088458332747,7974.647987364774,1357,1357,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
