model,aggregation,n_publications,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,MaximumAE
OLS,micro_all_held_out_rows,6,452,26.59193640213889,31.873854507838306,0.035527571728634855,0.4049569816376888,-6.363638176734436,24.209614023514916,87.09032000075035
OLS,macro_equal_publication_weight,6,452,26.872354291276167,31.548795542455963,-2.1475815295185137,,-8.394295660212604,23.55402289528371,71.675430427703
Elastic Net,micro_all_held_out_rows,6,452,23.146715289805353,28.38435112350812,0.23514592286710523,0.5080787047182928,0.50959606738288,19.834696600450073,89.30088458332747
Elastic Net,macro_equal_publication_weight,6,452,22.956236084852893,27.94389121794933,-0.46971196302628854,,-0.910342463989433,19.667267603877615,65.7131530405537
Bayesian Ridge,micro_all_held_out_rows,6,452,26.272567400011123,31.328843044783135,0.06822863670192902,0.4147561021993282,-4.831205916841367,24.095080229788138,88.86416929807837
Bayesian Ridge,macro_equal_publication_weight,6,452,26.405690890890373,31.152143835813806,-1.757687085120254,,-6.881250010622434,23.25480075454642,71.49469292478015
Polynomial Ridge,micro_all_held_out_rows,6,452,36.208921867103534,57.0925117529233,-2.094417759560254,0.14902077729585725,20.36256737026966,23.052860065990664,287.5966050048794
Polynomial Ridge,macro_equal_publication_weight,6,452,37.60978130620038,50.089351718564444,-9.480785192922658,,20.724378676131927,26.355124221147886,137.93476456912646
