policy,model,split,numeric_imputer,categorical_encoder,n_rows,MAE,RMSE,R2,R,Bias,MedianAE
raw_le_20,OLS,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.755685486940807,19.826437461999557,0.7049911813032894,0.8397870753784805,-0.18295932591998437,11.251131492041111
raw_le_20,OLS,validation,mean,TargetEncoder(5-fold cross-fitting),311,16.533988378855643,21.476781588129985,0.6759155903243739,0.8249076602731981,-1.847710388219016,12.940186113206238
raw_le_20,OLS,test,mean,TargetEncoder(5-fold cross-fitting),311,17.265852030397124,22.71323703006612,0.5589151112211759,0.7484447065458557,0.08592005668207553,12.748115885059093
raw_le_20,Elastic Net,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.911821644425288,20.00680426232017,0.6995992061484518,0.8375688249152414,-0.1594474884009687,11.383496426539466
raw_le_20,Elastic Net,validation,mean,TargetEncoder(5-fold cross-fitting),311,16.481050560452083,21.44818707654375,0.6767779975927896,0.8241955462946688,-1.8343486773000137,13.494953518648202
raw_le_20,Elastic Net,test,mean,TargetEncoder(5-fold cross-fitting),311,17.238192364610928,22.838586258159804,0.5540331812867831,0.7443698614780163,0.1066697295222802,12.921962621005179
raw_le_20,Bayesian Ridge,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.78541826430506,19.858665431946676,0.7040313252894532,0.8393651539866761,-0.17648359003873393,11.25565251382352
raw_le_20,Bayesian Ridge,validation,mean,TargetEncoder(5-fold cross-fitting),311,16.503355963925664,21.459199417559145,0.676446002662193,0.8248211699718332,-1.8542239290546667,13.414538394748632
raw_le_20,Bayesian Ridge,test,mean,TargetEncoder(5-fold cross-fitting),311,17.256068043533766,22.755908563577407,0.5572562152312466,0.7470570052448529,0.09752780260903397,12.848233881193963
raw_le_20,Polynomial Ridge,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.71743035127145,19.764193152391556,0.706840610473433,0.8464650940454759,-0.14613786568321224,11.111096340390219
raw_le_20,Polynomial Ridge,validation,mean,TargetEncoder(5-fold cross-fitting),311,16.09473815945702,21.065872646411766,0.6881981791176146,0.831327970595935,-1.4302309335444539,12.129067739628908
raw_le_20,Polynomial Ridge,test,mean,TargetEncoder(5-fold cross-fitting),311,16.470283941555444,21.692620955221532,0.5976646719038186,0.7802863205567266,0.9998438442859732,12.457755513219709
raw_le_50,OLS,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.213364465211571,18.718976526847147,0.7370278064606595,0.8585483481496254,-0.1827458637818585,10.997638059289727
raw_le_50,OLS,validation,mean,TargetEncoder(5-fold cross-fitting),311,15.90784672437083,20.114833794320077,0.7157158574805825,0.8482105367338748,-0.8233193858346243,12.63287713777305
raw_le_50,OLS,test,mean,TargetEncoder(5-fold cross-fitting),311,16.305660896280227,21.15038187719963,0.61752721391724,0.7870922119220148,0.07695610997652962,13.08094244007961
raw_le_50,Elastic Net,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.223890931846498,18.77626377717275,0.735415751856302,0.8578719280086066,-0.17495060173264837,10.88571582064867
raw_le_50,Elastic Net,validation,mean,TargetEncoder(5-fold cross-fitting),311,15.80837077521931,20.074833242158363,0.7168453936257,0.8479504462041422,-0.8754947284444169,12.588429703495677
raw_le_50,Elastic Net,test,mean,TargetEncoder(5-fold cross-fitting),311,16.21126965586226,21.184601600502365,0.6162885884610563,0.7855004223991277,0.09488892696022191,12.904250057699329
raw_le_50,Bayesian Ridge,train,mean,TargetEncoder(5-fold cross-fitting),1451,14.219634958793826,18.745855755026213,0.7362720424337603,0.8581963298082578,-0.1794052314207574,10.911119504003068
raw_le_50,Bayesian Ridge,validation,mean,TargetEncoder(5-fold cross-fitting),311,15.866365049522875,20.094513384220793,0.7162899464852337,0.8480880567652714,-0.8469321383754906,12.581365358523755
raw_le_50,Bayesian Ridge,test,mean,TargetEncoder(5-fold cross-fitting),311,16.278593764273406,21.19172741238608,0.616030408935647,0.7857530335597858,0.08786398277941403,12.975239706757932
raw_le_50,Polynomial Ridge,train,mean,TargetEncoder(5-fold cross-fitting),1451,10.592654458259435,14.609425389055009,0.8398186685711153,0.9168872860174977,-0.19825208903225175,7.946513542261556
raw_le_50,Polynomial Ridge,validation,mean,TargetEncoder(5-fold cross-fitting),311,12.805719185503945,16.9388203649771,0.7984020724586802,0.8940402245117416,0.08413429440743689,9.650627389709257
raw_le_50,Polynomial Ridge,test,mean,TargetEncoder(5-fold cross-fitting),311,13.632951422209693,17.758074800381152,0.7303776589828028,0.8553988578692031,1.1344085461284583,9.779051557446408
