policy,experiment,exploratory,model,split,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,experiment_family
shared_semantic_recoding_50_percent,main_baseline,False,OLS,train,1449,17.45222956101516,22.429983989396586,0.6067236534311604,0.7789293065363031,0.05193073932302605,14.523978511838436,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,OLS,validation,311,16.974919263547957,21.96266229372352,0.6622762424088581,0.8142148369014705,-0.9499899055672949,13.416459199560677,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,OLS,test,313,16.557271465774065,21.08705246414493,0.6846981059376223,0.8319076500957998,3.182580095478014,13.68045168084194,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Elastic Net,train,1449,17.569639982547393,22.520612473045368,0.6035391620916686,0.7769682616432101,0.05201275665030494,14.604675113342495,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Elastic Net,validation,311,16.96707151079029,21.774309426282414,0.6680440742637918,0.818095571945635,-1.1437786436772146,13.806593732778424,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Elastic Net,test,313,16.52981759152751,20.933014799672115,0.6892877445542857,0.834423890574175,2.899709568603058,13.798908193327918,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Bayesian Ridge,train,1449,17.705359420114835,22.68745280561107,0.5976431703324974,0.7733013774491702,0.052202920673968006,14.251152685325536,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Bayesian Ridge,validation,311,16.990839823943833,21.742525107241676,0.6690124900344376,0.8194996641978299,-1.2763691704639266,13.95706658674223,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Bayesian Ridge,test,313,16.562743701630453,20.93484018166194,0.6892335532885363,0.8346953681789946,2.6601630361116855,13.809537784439982,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Polynomial Ridge,train,1449,8.80129161838028,12.428293657751121,0.8792567358935234,0.938172029569814,0.03567291678933739,5.803524753175196,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Polynomial Ridge,validation,311,30.645163356341047,343.3436490447942,-81.53719058237076,0.11176465173831365,-19.820460319623603,7.9842388460673135,main_baseline
shared_semantic_recoding_50_percent,main_baseline,False,Polynomial Ridge,test,313,11.1444604733047,15.508809541739222,0.8294499905922634,0.9133973986388271,1.413218455419179,7.7219248744744675,main_baseline
