Mix-ID,Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Fly Ash Type,Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sustainable Filler | Type of Filler,Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Fiber | Tensile Strength (MPa),"Mix Constitutents | Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Synergetic Fiber | Type of Fiber,Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,Mix Constitutents | Synergetic Fiber | Length (mm),Mix Constitutents | Synergetic Fiber | Diameter (mm),Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C),Curing Regime | Humidity (%),Curing Regime | Pressure (MPa),Workability | Testing Standard,Workability | Slump (mm),Workability | Slump Flow (mm),Mechanical Properties | Compressive Strength (Mpa) | Specimen,Mechanical Properties | Compressive Strength (Mpa) | Testing Standard,Mechanical Properties | Compressive Strength (Mpa) | 1-day,Mechanical Properties | Compressive Strength (Mpa) | 3-Day,Mechanical Properties | Compressive Strength (Mpa) | 7-Day,Mechanical Properties | Compressive Strength (Mpa) | 14-Day,Mechanical Properties | Compressive Strength (Mpa) | 21 days,Mechanical Properties | Compressive Strength (Mpa) | 28-Day,Mechanical Properties | Compressive Strength (Mpa) | 56-Day,Mechanical Properties | Compressive Strength (Mpa) | 90-Day,Mechanical Properties | Elastic Modulus | Testing Standard,Mechanical Properties | Elastic Modulus | Elastic Modulus (Gpa),Mechanical Properties | Tensile Strength Parameters | Testing Standards,Mechanical Properties | Tensile Strength Parameters | Split Tensile Strength (Mpa),Mechanical Properties | Tensile Strength Parameters | first-cracking strength (MPa),Mechanical Properties | Tensile Strength Parameters | Direct Tensile Strength (Mpa),Mechanical Properties | Tensile Strength Parameters | Peak tensile strain (%),Mechanical Properties | Tensile Strength Parameters | Tensile Elastic Modulus (GPa),Mechanical Properties | Tensile Strength Parameters | Strain capacity (%),Mechanical Properties | Flexural Strength Parameters | Specimens,Mechanical Properties | Flexural Strength Parameters | Testing Standard,Mechanical Properties | Flexural Strength Parameters | LOP (Mpa),Mechanical Properties | Flexural Strength Parameters | MOR (MPa),Mechanical Properties | Flexural Strength Parameters | Peak Strength (MPa),Mechanical Properties | Flexural Strength Parameters | Residual Strength (f600) (MPa),Mechanical Properties | Flexural Strength Parameters | Residual Strength (f150) (MPa),Mechanical Properties | Flexural Strength Parameters | Toughness (J),Durability Properities | Air Content/Air Void/ Porosity | Testing Standards,Durability Properities | Air Content/Air Void/ Porosity | Air Content %,Durability Properities | Air Content/Air Void/ Porosity | Air Void %,Durability Properities | Air Content/Air Void/ Porosity | Porosity,Durability Properities | Water absorption | Testing Standards,Durability Properities | Water absorption | Water absorption (%),Durability Properities | Shrinkage (µϵ) | Testing Standards,Durability Properities | Shrinkage (µϵ) | 28-day Shrinkage (µstrain),Durability Properities | Shrinkage (µϵ) | 56-day Shrinkage (µstrain),Durability Properities | Freezing and Thawing | Testing Standards,Durability Properities | Freezing and Thawing | Cycles,Durability Properities | Rapid Chloride Permeability Test | Testing Standards,Durability Properities | Rapid Chloride Permeability Test | Total Charge Passed (Coulombs),Durability Properities | Surface Resistivity | Testing Standards,Durability Properities | Surface Resistivity | Surface Resistivity (kΩ-mm),Research Paper Details | Country of Origin,Research Paper Details | Reference details/Data sources,Research Paper Details | Year of Publish,Research Paper Details | Research paper reference in dataset
CS 40,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,340.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,510.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,200.0,,,,,ASTM C496,19.8,,,,,,100 x 100 x 500,,,,32.0,,,,,,,,,,,,,,,,,,,,,,
CS 50,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,425.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,425.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,182.0,,,,,ASTM C496,19.0,,,,,,100 x 100 x 500,,,,29.0,,,,,,,,,,,,,,,,,,,,,,
CS 60,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,510.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,340.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,181.0,,,,,ASTM C496,18.3,,,,,,100 x 100 x 500,,,,29.0,,,,,,,,,,,,,,,,,,,,,,
CS 70,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,595.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,255.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,178.0,,,,,ASTM C496,16.9,,,,,,100 x 100 x 500,,,,27.0,,,,,,,,,,,,,,,,,,,,,,
CS 80,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,680.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,170.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,176.0,,,,,ASTM C496,16.4,,,,,,100 x 100 x 500,,,,26.0,,,,,,,,,,,,,,,,,,,,,,
CS 90,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,765.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,85.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,175.0,,,,,ASTM C496,16.1,,,,,,100 x 100 x 500,,,,28.0,,,,,,,,,,,,,,,,,,,,,,
CS 100,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,850.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,0.0,,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Steam Curing,70.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,171.0,,,,,ASTM C496,14.8,,,,,,100 x 100 x 500,,,,27.0,,,,,,,,,,,,,,,,,,,,,,
CS 10,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,85.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,765.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,210.0,,,,,ASTM C496,23.0,,,,,,100 x 100 x 500,,,,38.1,,,,ASTM C642-13,,,1.09,,,,,,,,`,150.0,,,,,,
CS 20,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,170.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,680.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,212.0,,,,,ASTM C496,25.0,,,,,,100 x 100 x 500,,,,42.0,,,,ASTM C642-13,,,1.07,,,,,,,,ASTM C 1202- 12,150.0,,,,,,
CS 30,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,255.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,595.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,217.0,,,,,ASTM C496,27.8,,,,,,100 x 100 x 500,,,,43.0,,,,ASTM C642-13,,,1.06,,,,,,,,ASTM C 1202- 12,145.0,,,,,,
CS 40,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,340.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,510.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,225.0,,,,,ASTM C496,28.5,,,,,,100 x 100 x 500,,,,44.0,,,,ASTM C642-13,,,1.04,,,,,,,,ASTM C 1202- 12,140.0,,,,,,
CS 50,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,425.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,425.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,227.0,,,,,ASTM C496,29.5,,,,,,100 x 100 x 500,,,,47.0,,,,ASTM C642-13,,,1.0,,,,,,,,ASTM C 1202- 12,135.0,,,,,,
CS 60,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,510.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,340.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,234.0,,,,,ASTM C496,30.5,,,,,,100 x 100 x 500,,,,46.0,,,,ASTM C642-13,,,0.99,,,,,,,,ASTM C 1202- 12,135.0,,,,,,
CS 70,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,595.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,255.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,232.0,,,,,ASTM C496,31.8,,,,,,100 x 100 x 500,,,,44.0,,,,ASTM C642-13,,,0.96,,,,,,,,ASTM C 1202- 12,130.0,,,,,,
CS 80,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,680.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,170.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,227.0,,,,,ASTM C496,29.8,,,,,,100 x 100 x 500,,,,41.0,,,,ASTM C642-13,,,0.96,,,,,,,,ASTM C 1202- 12,130.0,,,,,,
CS 90,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,765.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,85.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,221.0,,,,,ASTM C496,27.8,,,,,,100 x 100 x 500,,,,40.0,,,,ASTM C642-13,,,0.99,,,,,,,,ASTM C 1202- 12,135.0,,,,,,
CS 100,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,850.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,0.0,,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,219.0,,,,,ASTM C496,26.7,,,,,,100 x 100 x 500,,,,38.0,,,,ASTM C642-13,,,1.02,,,,,,,,ASTM C 1202- 12,140.0,,,,,,
CS 10,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,85.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,765.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,209.0,,,,,ASTM C496,20.8,,,,,,100 x 100 x 500,,,,38.0,,,,ASTM C642-13,,,1.04,,,,,,,,ASTM C 1202- 12,145.0,,,,,,
CS 20,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,170.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,680.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,210.0,,,,,ASTM C496,21.9,,,,,,100 x 100 x 500,,,,39.0,,,,,,,,,,,,,,,,,,,,,,
CS 30,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,255.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,595.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,213.0,,,,,ASTM C496,22.8,,,,,,100 x 100 x 500,,,,39.0,,,,,,,,,,,,,,,,,,,,,,
CS 40,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,340.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,510.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,215.0,,,,,ASTM C496,23.7,,,,,,100 x 100 x 500,,,,40.0,,,,,,,,,,,,,,,,,,,,,,
CS 50,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,425.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,425.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,198.0,,,,,ASTM C496,20.25,,,,,,100 x 100 x 500,,,,36.0,,,,,,,,,,,,,,,,,,,,,,
CS 60,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,510.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,340.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,192.0,,,,,ASTM C496,19.6,,,,,,100 x 100 x 500,,,,37.0,,,,,,,,,,,,,,,,,,,,,,
CS 70,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,595.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,255.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,186.5,,,,,ASTM C496,18.5,,,,,,100 x 100 x 500,,,,35.0,,,,,,,,,,,,,,,,,,,,,,
CS 80,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,680.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,170.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,185.0,,,,,ASTM C496,17.8,,,,,,100 x 100 x 500,,,,34.0,,,,,,,,,,,,,,,,,,,,,,
CS 90,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,765.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,85.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,183.0,,,,,ASTM C496,17.2,,,,,,100 x 100 x 500,,,,35.0,,,,,,,,,,,,,,,,,,,,,,
CS 100,850.0,Portland Cement of 53 grade,53.0,260.0,0.0,,0.0,212.0,0.0,0.0,0.0,0.0,850.0,Copper Slag,0.0,0.0,0.0,0.0,0.0,,0.0,,0.6,Steel Fibre,157.0,10.0,0.12,,,,,,,,,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0,,,,,,70.6  x_x0002_ 70.6 _x0002_ x 70.6,ASTM C109,,,,,,178.0,,,,,ASTM C496,16.6,,,,,,100 x 100 x 500,,,,32.0,,,,,,,,,,,,,,,,,,,,,,
PS 0,750.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",38.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,260.0,40 x 40 x 160,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,122.0,,,,,,,,,,,,,,,,,,,,,,,7.68,,,,,,,,,,,,China,"Low carbon design of an Ultra-High Performance Concrete (UHPC)
incorporating phosphorous slag

https://doi.org/10.1016/j.jclepro.2019.118157",2019.0,Ref-49-Research
PS10,675.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,75.0,Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",38.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,280.0,40 x 40 x 160,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,125.0,,,,,,,,,,,,,,,,,,,,,,,6.19,,,,,,,,,,,,,,,
PS20,600.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,150.0,Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",36.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,290.0,40 x 40 x 160,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,EN 196–1 ,129.0,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,
PS 30,525.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,225.0,Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",36.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,300.0,40 x 40 x 160,EN 196–1,,60.5,82,,,128.0,,,,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,,,,,,,,
PS 40,450.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",34.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,305.0,40 x 40 x 160,EN 196–1,,55,78,,,121.0,,,,,,,,,,,,,,,,,,,,,,,6.41,,,,,,,,,,,,,,,
PS 50,375.0,CEM I,,144.0,200.0,Class F,0.0,0.0,0.0,0.0,0.0,0.0,375.0,Phosphorous Slag,0.0,0.0,0.0,0.0,0.0,,990.0,Natural River sand,1.25,,,,,,,,,,,,,182.0,"high-reduce water-admixture
(PCE)",30.0,Standard curing ,20.0,95.0,,BS-EN-1015-3,,310.0,40 x 40 x 160,EN 196–1,,52,71,,,117.0,,,,,,,,,,,,,,,,,,,,,,,12.76,,,,,,,,,,,,,,,
A20S15P1.2,800.0,ordinary Portland cement (OPC) I42.5,42.5,140.79999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1720.0,Natural River sand,0.6,,,,,,,,,,,,,160.0,Polycarboxilate-based superplasticizer (SP),11.28,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,65,,,120.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,24.0,,,,,,,,,,,,,,,,,,,Iran ,"Effect of materials proportion on rheology and mechanical strength and
microstructure of ultra-high performance concrete (UHPC)

https://doi.org/10.1016/j.conbuildmat.2018.08.070",2018.0,Ref-50-Research
A20S20P1.2,800.0,ordinary Portland cement (OPC) I42.5,42.5,200.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1807.9999999999998,Natural River sand,0.6,,,,,,,,,,,,,160.0,Polycarboxilate-based superplasticizer (SP),12.0,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,58,,,110.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,23.0,,,,,,,,,,,,,,,,,,,,,,
A20S25P1.2,800.0,ordinary Portland cement (OPC) I42.5,42.5,266.40000000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1912.0,Natural River sand,0.6,,,,,,,,,,,,,160.0,Polycarboxilate-based superplasticizer (SP),12.8,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,62,,,105.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,21.0,,,,,,,,,,,,,,,,,,,,,,
A18S15P1.2,800.0,ordinary Portland cement (OPC) I42.5,42.5,140.79999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1768.0,Natural River sand,0.6,,,,,,,,,,,,,144.0,Polycarboxilate-based superplasticizer (SP),11.28,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,68,,,121.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,27.0,,,,,,,,,,,,,,,,,,,,,,
A22S15P1.2,800.0,ordinary Portland cement (OPC) I42.5,42.5,140.79999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1672.0,Natural River sand,0.6,,,,,,,,,,,,,176.0,Polycarboxilate-based superplasticizer (SP),11.28,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,60,,,110.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,25.0,,,,,,,,,,,,,,,,,,,,,,
A20S15P1.4,800.0,ordinary Portland cement (OPC) I42.5,42.5,140.79999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1720.0,Natural River sand,0.6,,,,,,,,,,,,,160.0,Polycarboxilate-based superplasticizer (SP),13.2,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,58,,,120.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,24.0,,,,,,,,,,,,,,,,,,,,,,
A20S15P1,800.0,ordinary Portland cement (OPC) I42.5,42.5,140.79999999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1728.0,Natural River sand,0.6,,,,,,,,,,,,,160.0,Polycarboxilate-based superplasticizer (SP),9.44,Standard curing ,20.0,65.0,,,,,50 x 50 x 50 ,"ASTM C109/C109M (ASTM, 2016a)",,,55,,,111.0,,,,,,,,,,,,40 x 40 x160,"ASTM C348 (ASTM, 2014) ",,,22.0,,,,,,,,,,,,,,,,,,,,,,
