Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C)
756.0,Type I 52.5 R ©,52.5,177.6,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,Silica Sand,0.6,not_applicable,0.0,,,180.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
700.0,PO 52.5R,52.5,150.0,0.0,90.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,silica sand,0.181,PE fiber,19.4,18.0,0.024,230.0,polycarboxylate superplasticizer,20.0,Normal Curing,
819.0,Type I 52.5 R ©,52.5,177.6,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0000000000001,Silica Sand,0.6,not_applicable,0.0,,,200.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
890.0,Type I/II ordinary portland cement,,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,Locally available sand,0.6,Straight Steel Fibers,119.0,13.0,0.2,214.0,polycarboxylate based HRWRA,50.0,Warm bath curing,90.0
725.7019438444923,OPC 52.5,52.5,155.50755939524836,155.50755939524836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.388768898488,Locally available sand,0.63,not_applicable,0.0,,,186.60907127429803,polycarboxylate based superpasticizer (SP),36.28509719222462,Standard Curing,20.0
839.0,Type I/II low-alkali portland cement,,104.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,923.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,67.8,Standard Curing,
693.0,Type I 52.5 R (C),52.5,133.2,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,Silica Sand,0.6,not_applicable,0.0,,,160.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
749.0,High sulfate-resistant cement (Type HS cement),,211.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Quartz Sand,0.6,not_applicable,0.0,,,239.0,polycarboxylate (PCE)-based HRWRA,24.0,Heat curing,90.0
850.0,ordinary Portland cement  42.5 Grade,42.5,137.5,112.5,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,1.2,Straight Steel Fibers,78.0,10.0,0.12,176.0,Superplasticizer,8.0,Hot Water Curing,90.0
564.0,"Portland
cement (CEM I 42,5)",42.5,169.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,Granite + Quartz Sand,3.0,Straight  Steel Fiber,234.0,6.0,0.15,125.0,polycarboxylate based superplasticizer (SP),44.0,Steam curing,100.0
759.0,Ordinary Portland cement grade of 42.5 Mpa,42.5,227.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,666.0,Natural River sand,,Steel Fibers,156.0,13.0,0.2,178.0,polycarboxylate based superplasticizer with a water-reducing,19.0,Autoclave Curing,200.0
788.5,Type I Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,0.337,Straight Steel Fibers,39.5,19.5,0.2,160.3,polycarboxylate superplasticizer,49.8,STEAM CURING,90.0
1076.77,"Portland
cement (Type I)",,286.22999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,Natural River sand,0.075,not_applicable,0.0,,,272.6,"HRWR admixture
was carboxylate-based",46.2,Standard Curing,21.0
634.0,Portland cement (P.I. 42.5),42.5,264.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,173.0,polycarboxylate-based superplasticizer (SP),21.1,Steam Curing,90.0
813.0,High sulfate-resistant cement (Type HS cement),,226.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,Quartz Sand,0.6,not_applicable,0.0,,,187.0,polycarboxylate (PCE)-based HRWRA,11.0,Standard Curing,23.0
570.194384449244,OPC 52.5,52.5,155.50755939524836,311.01511879049673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.388768898488,Locally available sand,0.63,not_applicable,0.0,,,186.60907127429803,polycarboxylate based superpasticizer (SP),36.28509719222462,Standard Curing,20.0
488.5,CEM I 52.5 PM ES,52.5,183.0,0.0,0.0,61.0,0.0,0.0,0.0,446.9,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,Quartz Sand,,not_applicable,0.0,,,148.44,"Sika
Viscocrete Krono HE 20 superplasticizer (SP)",22.49,Standard Curing,20.0
598.0,CEM I 52.5 N,52.5,0.0,0.0,276.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,220.0,Quartz Sand,1.0,carbon fibres (CF),8.9,1.0,0.007,202.4,unknown_type,32.2,Standard Curing,20.0
856.5,Ordinary Portland Cement (OPC) CEM I 42.5,42.5,214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.5,quartz sand,0.8,Steel fibres,120.0,13.0,0.2,184.0,polycsarboxylic-acid-based superplasticizer (SP),19.7,Standard Curing,20.0
700.0,Chinese standard Graded 52.5 P.II type Portland cement,52.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,Natural River sand,2.5,Hooked End Steel Fiber,117.0,25.0,0.5,152.0,PCA-I polycarboxylic type HRWR,22.8,Standard Curing,21.7
759.0,Ordinary Portland cement grade of 42.5 Mpa,42.5,227.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,0.0,not_applicable,,Steel Fibers,156.0,13.0,0.2,178.0,polycarboxylate based superplasticizer with a water-reducing,19.0,Standard Curing,20.0
581.0,Ordinary Portland cement (CEM-I 42.5-R),42.5,157.0,166.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,Quartz Sand,3.0,Steel Fiber,234.0,6.0,0.15,151.0,"polycarboxylate-based
superplasticizer (SP)",34.0,Steam curing,100.0
960.0,Ordinary Portland cement with strength grade of 42.5,42.5,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,quartz sand,0.6,Steel Fibers,234.0,13.0,0.2,224.64,polycarboxylate-based superplasticizer (SP,17.471999999999998,Standard Curing,22.0
1079.0,"ASTM C150 Type
III portland cement",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,Natural River sand + Masonary Sand,4.75,Straight Steel Fibers,156.0,13.0,0.2,125.0,"polycarboxylate-based
high range water reducer (HRWR)",17.3,STANDARD Curing,20.0
673.8660907127429,OPC 52.5,52.5,155.50755939524836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.34341252699784,0.0,0.0,0.0,0.0,0.0,1140.388768898488,Locally available sand,0.63,not_applicable,0.0,,,186.60907127429803,polycarboxylate based superpasticizer (SP),36.28509719222462,Standard Curing,20.0
800.0,Type I 52.5 R ©,52.5,165.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,Silica Sand,0.6,Straight Steel Fibers,150.0,10.0,0.15,190.0,polycarboxylate ether-based superplasticizers (SPs),32.0,Heat Curing,90.0
340.0,"Portland cement (PC 42,5)",42.5,260.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,Quartz + Basalt,4.0,not_applicable,0.0,,,170.0,superplasticizer of sulfonated naphthalene formaldehyde based,45.0,Standard Curing,20.0
863.0,ordinary portland cement,42.5,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,Natural River sand,2.36,Corrugated Steel Fiber,156.0,13.0,0.2,194.22,polycarboxylate-based superplasticizer,92.794,Standard Curing,20.0
828.7,Portland cement,,215.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,1079.0,Natural River sand,2.36,not_applicable,0.0,,,177.0,polycarboxylate-based superplasticizer (SP),21.6,Standard curing,20.0
783.47,CEM I 52.5 R HS-NA,52.5,166.07,0.0,0.0,195.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.44,Quartz sand,0.5,Straight Steel fiber,117.78,20.0,0.25,185.16,Superplasticizer Sika Viscorete 2810,23.74,Heat treated,90.0
972.0,"P.I 52.5 Portland 
cement",52.5,271.5,0.0,0.0,87.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.76,Quartz sand,2.0,Steel fiber,78.0,20.0,0.2,223.83,CX-8 superplasticizer (SP) with water-reducing,24.3,Steam curing,90.0
1100.0,ordinary Portland cement Type I cement,,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.17,Fine dune sand,0.6,Straight Steel Fibers,157.0,13.0,0.22,275.0,polycarboxylic ether (PCE) based superplasticizer,13.75,Standard Curing,22.0
788.0,Portland Cement of Grade 53,53.0,197.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.8,Locally available sand,2.36,Steel fiber,195.0,6.0,0.16,173.0,Poly-Acrylic Ester based type SP,14.77,hot air curing,200.0
1024.390243902439,Portland cement (P⋅II 52.5),52.5,292.6829268292683,0.0,0.0,0.0,146.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.41,673.1707317073171,Natural River sand,0.6,PE,19.4,12.0,0.024,210.73170731707316,"polycarboxylate-based high range 
water reducing admixture (HRWRA)",14.0487804878049,Standard Curing,22.0
583.0,ordinary Portland cement (OPC),,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,Locally available sand,0.045,not_applicable,0.0,,,187.0,Polycarboxylate based Superplasticizer,4.5,STANDARD Curing,20.0
692.0,"ordinary 
Portland cement type 1(52.5 R)",52.5,99.7,78.4,0.0,200.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.6,Silica Sand,0.6,Steel Fiber,194.0,60.0,0.15,190.5,polycarboxylate ether based superplasticizers,36.0,Steam  Curing,90.0
802.0,High sulfate-resistant cement (Type HS cement),,223.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,481.0,Quartz Sand,,not_applicable,0.0,,,194.0,polycarboxylate (PCE)-based high range water-reducing admixture (HRWRA),13.0,steam hot curing,90.0
971.0,Portland cement (P.I 42.5),42.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,177.0,polycarboxylate-based superplasticizer (SP),21.6,Standard curing,20.0
850.0,Portland Cement of 53 grade,53.0,260.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,425.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,170.0,"High range water reducing
admixture",45.0,Normal Curing,
1234.4,portland cement (TypeI),,308.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,Natural River Sand,2.36,Straight Steel Fibers,312.0,12.7,0.2,308.6,HRWRA was carboxylate-based admixture,89.7,steam curing,90.0
693.0,Type I 52.5 R ©,52.5,133.2,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,Silica Sand,0.6,not_applicable,0.0,,,180.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
754.0,P-II 52.5 cement,52.5,54.0,306.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,Natural River sand,1.25,Straight Steel Fiber,156.0,13.0,0.2,198.0,"polycarboxylic ether based
superplasticizer",33.0,Standard  Curing,20.0
663.0,Type III portland cement,,42.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,River Sand + Masonry sand + Lightweight sand,4.75,Hooked End Steel Fiber,156.0,30.0,0.5,214.4,polycarboxylate-based HRWR,23.584,Standard Curing,23.0
923.0769230769228,"ordinary type I Portland cement (OPC, P.O 52.5)",52.5,184.61538461538456,92.30769230769228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.692307692307686,0.0,0.0,0.0,184.61538461538456,1015.3846153846152,Silica sand,2.0,not_applicable,0.0,,,243.69230769230776,"polycarboxylate-based
high-range water-reducing admixture (HRWRA)",16.61538461538461,Heat  Curing,90.0
1044.0,portland cement (TypeI),,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,Locally available sand,2.36,not_applicable,0.0,,,261.0,HRWRA was carboxylate-based admixture,113.7,steam curing,90.0
1050.0,Type I-42.5 N Portland cement,42.5,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,Basalt Sand,4.75,not_applicable,0.0,,,224.0,polycarboxylate-based,42.0,Hot Water Curing,80.0
726.0,Portland cement CEM I 52.5 N,52.5,0.0,0.0,0.0,290.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,silica sand,0.3,not_applicable,0.0,,,196.9,unknown_type,23.1,Steam Curing at 90 oC,90.0
692.0,Portland cement type 1 (52.5 R),52.5,0.0,0.0,0.0,200.1,0.0,0.0,0.0,206.7,0.0,0.0,0.0,0.0,0.0,0.0,899.6,Silica Sand,0.6,Straight Steel Fiber,194.0,60.0,0.15,190.5,polycarboxylate ether-based superplasticizers,36.0,Steam Curing,90.0
850.0,Portland Cement of 53 grade,53.0,260.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,170.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0
1100.0,ordinary Portland cement Type I cement,,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.06,Fine dune sand,0.6,Straight Steel Fibers,157.0,13.0,0.22,253.0,polycarboxylic ether (PCE) based superplasticizer,12.65,Standard Curing,22.0
960.0,Portland cement type CEM I 52.5 R,52.5,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Locally available sand,1.0,Straight steel fibres,192.0,13.0,0.18,211.0,acrylic-based superplasticizer,28.0,Standard Curing,20.0
664.0,Ordinary Portland cement (CEM-I 42.5-R),42.5,205.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,Quartz Sand,3.0,Steel Fiber,234.0,6.0,0.15,151.0,"polycarboxylate-based
superplasticizer (SP)",35.0,Steam curing,100.0
687.0,"Portland cement
(OPC) 52.5R",52.5,144.0,0.0,96.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,Silica sand,0.3,PE Fiber,20.0,12.0,0.024,267.0,"polycarboxylate-based high-range water reducer
(HRWR)",20.0,Normal Curing,
701.28,Type II Portland cement,,230.64,0.0,0.0,208.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.6,Locally available sand,1.18,Steel fiber,156.0,13.0,0.16,181.2,polycarboxylate-based ethers,30.48,standard curing,
580.0,OPC Type-1,,73.95,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,Natural River sand,1.2,PVA,6.5,18.0,0.2,152.83,VC-2044,21.69,STANDARD Curing,23.0
591.9,"Ordinary Portland Cement
(OPC) CEM I 52.5 R",52.5,0.0,264.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,1277.2,Locally available sand,2.0,not_applicable,0.0,,,159.3,polycarboxylic ether based superplasticiser,44.0,Standard Curing,21.0
604.0,High sulfate-resistant cement (Type HS cement),,134.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,quartz sand,0.6,not_applicable,0.0,,,229.0,PCE-based SP,15.6,Hot  Curing,90.0
580.0,OPC Type-1,,73.95,406.0,0.0,24.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,Natural River sand,1.2,Steel: hooked-ends,117.9,20.0,0.2,152.83,VC-2044,21.69,STANDARD Curing,23.0
521.0,High sulfate-resistant cement (Type HS cement),,208.0,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,quartz sand,0.6,Steel Fiber,158.0,13.0,0.2,190.0,PCE-based SP,40.5,Standard Normal Curing,23.0
825.8,cement CEM I 52.5N,52.5,192.3,0.0,486.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.4,Quartz sand,0.3,not_applicable,0.0,,,201.4,GLE NIUM®SKY 561 superplasticizer,10.5,Standard Curing,20.0
850.0,Portland Cement of 53 grade,53.0,260.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,680.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0
1280.0,Portland cement Type 1 cement,,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,Arkansas River sand,3.0,Straight Steel Fibers,64.0,12.7,0.2,320.0,HRWRA,38.22,heat curing,90.0
750.0,52.5 cement,52.5,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,190.0,1030.0,Locally available sand,,Straight Steel Fiber,191.0,15.0,0.12,190.0,Superplasticizer,16.0,Standard Curing,
900.0,ordinary Portland cement (OPC) I42.5,42.5,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,Natural River sand,0.6,not_applicable,0.0,,,162.0,Polycarboxilate-based superplasticizer (SP),13.5,Standard curing,20.0
437.0,High sulfate-resistant cement (Type HS cement),,202.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,quartz sand,0.6,Steel Fiber,158.0,13.0,0.2,223.0,PCE-based SP,15.9,Hot  Curing,90.0
756.0,Type I 52.5 R (C),52.5,155.4,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,Silica Sand,0.6,Straight Steel Fibers,148.0,10.0,0.15,180.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
972.0,"P.I 52.5 Portland 
cement",52.5,271.5,0.0,0.0,87.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.76,Quartz sand,2.0,Steel fiber,156.0,13.0,0.3,223.83,CX-8 superplasticizer (SP) with water-reducing,24.3,Steam curing,90.0
754.0,P_x0003_Ⅱ 52.5 cement,52.5,54.0,306.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,Locally available sand,1.25,Straight Steel Fibers,156.0,13.0,0.2,198.0,"polycarboxylic ether
based water-reducing agent",33.0,standard Curing,20.0
888.0,OPC (1),,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8,976.8,Silica Sand,,Steel fiber,156.0,13.0,0.2,190.92,"superplasticizer
(polycarboxylate type",35.52,Air Dry Curing,20.0
863.0,P.I 42.5 Portland cement,42.5,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,Natural River sand,2.36,Straight Steel Fibers,156.0,13.0,0.2,177.0,polycarboxylate-based superplasticizer (SP),16.19,Standard curing,20.0
920.0,OPC,52.5,138.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,Quartz sand,1.25,not_applicable,0.0,,,239.2,polycarboxylate-based superplasticizer (SP),19.14,Standard Curing,20.0
851.0638297872339,White cement,,212.76595744680847,0.0,0.0,0.0,212.76595744680847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.404255319149,Silica Sand,1.0,Straight  Steel Fiber,117.0,19.0,0.2,187.23404255319144,Advacast 575 high range water reducer,12.765957446808509,Standard Curing,20.0
783.0,portland cement (TypeI),,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,Natural River Sand,2.36,not_applicable,0.0,,,261.0,HRWRA was carboxylate-based admixture,50.4,steam curing,90.0
788.5,Type 1 Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,0.3,polyethylene fibers,19.4,12.0,0.03,160.3,polycarboxylate superplasticizer,52.6,steam curing,90.0
720.0,Type I/II ordinary portland cement (OPC),,69.0,103.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,Locally available sand,4.75,Straight Steel Fibers,120.0,13.0,0.2,160.0,polycarboxylate-based HRWRA,44.5,Warm bath curing,90.0
819.0,Type I 52.5 R (C),52.5,177.6,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0000000000001,Silica Sand,0.6,not_applicable,0.0,,,200.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Heat Curing,90.0
699.9,"Ordinary Portland Cement (OPC)
CEM I 52.5 R",52.5,43.7,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.4,Locally available sand,2.0,Steel Fiber,117.0,13.0,0.2,202.1,"polycarboxylic
ether based superplasticiser (BASF)",45.9,Standard Curing,21.0
1200.0,ordinary Portland cement Type I cement,,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.13,Fine dune sand,0.6,Straight Steel Fibers,157.0,13.0,0.22,216.0,polycarboxylic ether (PCE) based superplasticizer,51.12,Standard Curing,22.0
1044.0,portland cement (TypeI),,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,Arkansas Quarry Sand,2.36,not_applicable,0.0,,,261.0,HRWRA was carboxylate-based admixture,126.5,steam curing,90.0
1150.0,ordinary Portland cement (P.O 52.5),52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,Quartz sand,2.36,Straight Steel Fibers,156.0,13.0,0.2,207.0,"polycarboxylate-based high range water-reducing 
agent (HRWR)",17.25,Standard Water Curing,25.0
695.9,Ordinary Portland Cement (OPC) CEM I 42.5,42.5,214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.6,1177.5,quartz sand,0.8,Steel fibres,120.0,13.0,0.2,184.0,polycsarboxylic-acid-based superplasticizer (SP),20.9,Autoclave Curing,180.0
960.0,Portland cement type CEM I 52.5 R,52.5,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Locally available sand,1.0,Straight steel fibres,192.0,13.0,0.18,230.0,acrylic-based superplasticizer,28.0,Standard Curing,20.0
863.0,Portland cement (P.I 42.5),42.5,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,177.0,polycarboxylate-based superplasticizer (SP),21.6,Standard curing,20.0
897.2,"P.I 
52.5 Portland cement",52.5,269.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.724,Quartz Sand,1.7,Straight Steel Fibers,78.0,13.0,0.3,161.496,superplasticizer (SP) CX-8,22.43,steam cured,90.0
376.0,"Portland
cement (CEM I 42,5)",42.5,282.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,Bauxite,3.0,Straight  Steel Fiber,234.0,6.0,0.15,125.0,polycarboxylate based superplasticizer (SP),55.0,Standard Curing,20.0
926.4705882352944,P∙II 52.5 Portland cement (PC),52.5,617.6470588235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.882352941177,Natural River sand,0.5,PE,19.4,12.0,0.024,293.3823529411765,polycarboxylate superplasticizer from Sika,77.2058823529412,Steam Curing,85.0
475.0,Portland cement (P.I. 42.5),42.5,264.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,173.0,polycarboxylate-based superplasticizer (SP),21.1,Standard Curing,20.0
