Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C)
788.5,Type I Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,,Long Twisted Fiber,39.5,30.0,0.3,160.3,polycarboxylate superplasticizer,52.6,STEAM CURING,90.0
840.0,Ordinary Portland cement (P⋅O 52.5,52.5,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,Locally available sand,,Steel Fiber,156.0,13.0,0.22,180.0,polycarboxylate-based superplasticizer,40.0,Standard Curing,20.0
1050.0,Type I-42.5 N Portland cement,42.5,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,Basalt Sand,4.75,Straight steel fibres,78.0,12.0,0.2,224.0,polycarboxylate-based,42.0,Hot Water Curing,80.0
816.0,High sulfate-resistant cement (Type HS cement),,113.0,0.0,0.0,245.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,Quartz sand,0.6,not_applicable,0.0,,,197.0,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13.0,Standard Curing,20.0
857.1428571428571,"Portland cement, 42.5N",42.5,257.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.7142857142858,Crushed limestone,,Straight Steel Fiber,78.0,13.0,0.55,222.8571428571429,"polycarboxylic ether based, high
range water reducing",66.85714285714285,Normal Curing,
1044.0,portland cement (TypeI),,261.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,2.36,not_applicable,0.0,,,261.0,HRWRA was carboxylate-based admixture,48.1,steam curing,90.0
788.5,Type I Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,,Hooked End Steel Fiber,118.5,30.0,0.38,160.3,polycarboxylate superplasticizer,52.6,STEAM CURING,90.0
960.0,Portland cement type I 52.5R,52.5,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,Quartz Sand,2.5,Straight Steel Fibers,107.6,6.0,0.16,234.0,polycarboxylate-based SP,45.0,Standard Curing,22.0
787.5,Type I 52.5 R (C),52.5,177.6,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,Silica Sand,0.6,Straight Steel Fibers,148.0,10.0,0.15,210.0,polycarboxylate ether-based superplasticizers (SPs),30.0,Standard curing,20.0
712.0,Type III Portland cement,,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,Quartz Sand,4.75,not_applicable,0.0,,,164.0,polycarboxylate HRWR,2.6404000000000005,Standard Curing,23.0
923.0769230769228,"ordinary type I Portland cement (OPC, P.O 52.5)",52.5,184.61538461538456,92.30769230769228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.692307692307686,0.0,0.0,0.0,184.61538461538456,1015.3846153846152,Silica sand,2.0,not_applicable,0.0,,,177.23076923076923,"polycarboxylate-based
high-range water-reducing admixture (HRWRA)",16.61538461538461,Standard Curing,20.0
1080.0,Ordinary Portland cement (P⋅O 52.5,52.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,Locally available sand,,Steel Fiber,156.0,13.0,0.22,180.0,polycarboxylate-based superplasticizer,38.0,Standard Curing,20.0
535.3,Ordinary Portland Cement (OPC) CEM I 42.5,42.5,214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.2,1177.5,quartz sand,0.8,Steel fibres,120.0,13.0,0.2,184.0,polycsarboxylic-acid-based superplasticizer (SP),24.5,Autoclave Curing,180.0
1100.0,ordinary Portland cement Type I cement,,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.35,Fine dune sand,0.6,Straight Steel Fibers,157.0,13.0,0.22,231.0,polycarboxylic ether (PCE) based superplasticizer,19.8,Standard Curing,22.0
664.0,Ordinary Portland cement (CEM-I 42.5-R),42.5,205.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,Quartz Sand,3.0,Steel Fiber,234.0,6.0,0.15,151.0,"polycarboxylate-based
superplasticizer (SP)",35.0,Standard Curing,20.0
788.5,Type 1 Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,0.3,Twisted steel fiber,79.0,30.0,0.3,160.3,polycarboxylate superplasticizer,52.6,steam curing,90.0
972.0,High sulfate-resistant cement (Type HS cement),,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,Quartz Sand,0.6,not_applicable,0.0,,,233.0,polycarboxylate (PCE)-based HRWRA,21.0,Standard Curing,23.0
823.0,High sulfate-resistant cement (Type HS cement),,0.0,0.0,0.0,247.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,Quartz sand,0.6,not_applicable,0.0,,,199.0,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13.0,steam hot curing,90.0
830.0,Ordinary Portland cement (CEM-I 42.5-R),42.5,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.0,Quartz Sand,3.0,Steel Fiber,234.0,6.0,0.15,151.0,"polycarboxylate-based
superplasticizer (SP)",55.0,Standard Curing,20.0
900.0,ordinary Portland cement (OPC) I42.5,42.5,158.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,Natural River sand,0.6,not_applicable,0.0,,,180.0,Polycarboxilate-based superplasticizer (SP),12.69,Standard curing,20.0
850.0,Portland Cement of 53 grade,53.0,260.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,340.0,quartz sand,0.6,Steel Fibre,157.0,10.0,0.12,170.0,"High range water reducing
admixture",45.0,Heat Curing,160.0
